PUBCHEM_CID,Actual,Predicted,Dataset
137,-0.9476909,-0.8476677416584599,lgCL_train
237,-0.514278574,-0.4554691454658133,lgCL_train
323,0.151063253,0.04426223225699144,lgCL_train
444,0.475048246,-0.12694336516066795,lgCL_train
535,-1.045757491,-1.0057659629594218,lgCL_train
564,-0.823908741,-0.8014753375061185,lgCL_train
598,0.089905111,-0.13418155789866704,lgCL_train
774,0.477121255,-0.13239324797296215,lgCL_train
896,-0.004364805,-0.3905505300424309,lgCL_train
1046,-1.263034674,-1.1632308091009227,lgCL_train
1355,-0.436518915,-0.3364108107091637,lgCL_train
1645,-0.324221658,-0.7116677399433198,lgCL_train
1727,-0.253365801,-0.15346206503519766,lgCL_train
1775,-1.653647026,-1.7538947194983407,lgCL_train
1935,0.526339277,0.017057838618767862,lgCL_train
1983,-0.522878745,-0.6397311217728225,lgCL_train
1986,-1.408935393,-1.3088199547693309,lgCL_train
2083,-0.329754147,-0.22956929091539158,lgCL_train
2088,-0.765916795,-0.8661349531013274,lgCL_train
2092,-0.450996738,-0.8791930618087751,lgCL_train
2118,-1.35261703,-0.8456372777292247,lgCL_train
2119,-0.045757491,-0.37066380734135546,lgCL_train
2130,-0.540607512,-0.6402632793797244,lgCL_train
2140,-0.991399828,-0.8913653807890296,lgCL_train
2153,-1.287350298,-0.7213826841730366,lgCL_train
2157,-0.943095149,-0.843368010131825,lgCL_train
2159,-0.463080998,-0.5633593649561616,lgCL_train
2160,-0.436518915,-0.33636637563994265,lgCL_train
2162,-0.37675071,-0.27653223826571866,lgCL_train
2200,0.07195561,-0.09978534922727089,lgCL_train
2206,-1.415668776,-0.7121133904559216,lgCL_train
2244,-0.142667504,-0.28048545104823713,lgCL_train
2249,-0.823908741,-0.7236488465465447,lgCL_train
2267,-0.26760624,-0.36781239466572413,lgCL_train
2369,-0.690369833,-0.4292378039448591,lgCL_train
2372,-0.48148606,-0.34120460197207547,lgCL_train
2375,-2.339948021,-2.239990236034471,lgCL_train
2405,-0.653647026,-0.5540409672490095,lgCL_train
2446,-0.107905397,-0.24786365591022436,lgCL_train
2451,-0.920818754,-0.8205539715614221,lgCL_train
2467,-0.473660723,-0.1375126969204694,lgCL_train
2468,-0.403622856,-0.3423500035240563,lgCL_train
2472,-0.540607512,-0.665368184833107,lgCL_train
2474,-0.622381568,-0.28686873529758367,lgCL_train
2478,-0.841637508,-0.8508629201225498,lgCL_train
2519,-1.075720714,-0.8770182276613341,lgCL_train
2520,0.033423755,-0.13198982701039086,lgCL_train
2528,-0.790484985,-0.8907437064484736,lgCL_train
2543,0.029789471,-0.07064951854696377,lgCL_train
2554,-1.1638568,-1.133566380331847,lgCL_train
2578,0.670245853,0.3215472185604362,lgCL_train
2581,-1.514278574,-1.5737638339156361,lgCL_train
2585,-0.329754147,-0.26398627913509015,lgCL_train
2662,-0.402618271,-0.8875263856911623,lgCL_train
2678,-1.464886802,-0.7390074909837245,lgCL_train
2684,-0.11270428,-0.2130304786168763,lgCL_train
2717,-3.066946717,-2.0959871220215143,lgCL_train
2719,-0.609064893,-0.4436436089385979,lgCL_train
2725,-0.823908741,-0.5397842474022783,lgCL_train
2726,-0.017728767,-0.11751974283948718,lgCL_train
2727,-2.568636236,-1.9285959161465154,lgCL_train
2732,-1.045757491,-1.329188973407295,lgCL_train
2747,-0.287350298,-0.33158653633448104,lgCL_train
2771,-0.588380294,-0.40085679013870673,lgCL_train
2789,-1.614649124,-1.7660936139302923,lgCL_train
2801,-0.308034897,-0.2598983409447829,lgCL_train
2803,-0.619788758,-0.32295133163092804,lgCL_train
2809,-1.180456064,-1.2801641399053416,lgCL_train
2895,-0.22184875,-0.25718682331423104,lgCL_train
2955,-1.540607512,-1.3421648056606976,lgCL_train
2972,-0.26645883,-0.38980635528650154,lgCL_train
2973,-0.301203748,-0.40128508621984366,lgCL_train
2995,-0.180456064,-0.23473755905355242,lgCL_train
2997,-2.142667504,-1.5873884616016483,lgCL_train
3007,-0.276896316,-0.37719638229223434,lgCL_train
3016,-1.642065153,-1.5417539728725589,lgCL_train
3033,-0.677780705,-0.9405201871382306,lgCL_train
3042,0.114896798,-0.013032332322761464,lgCL_train
3052,-1.544068038,-0.8009984969319486,lgCL_train
3059,-2.22184875,-1.6256142888965615,lgCL_train
3100,-0.230622674,-0.3306360313315147,lgCL_train
3108,-0.920818754,-0.8207932668748568,lgCL_train
3114,-1.26760624,-1.133431313787658,lgCL_train
3116,-1.920818754,-0.7614313862166968,lgCL_train
3121,-2.017728767,-1.3389436085493513,lgCL_train
3152,-0.920818754,-0.22556632844318297,lgCL_train
3156,-0.49757288,-0.5331654249893918,lgCL_train
3162,-0.776912179,-0.569500369742906,lgCL_train
3182,-0.540607512,-0.6406028032171345,lgCL_train
3202,-0.239577517,-0.13930265794876817,lgCL_train
3241,-0.096910013,-0.19679778059191766,lgCL_train
3278,-0.282329497,-0.8166266755404445,lgCL_train
3308,-1.367976784,-1.4681735758903822,lgCL_train
3331,-1.640978055,-0.9893667174870684,lgCL_train
3333,-0.180456064,-0.08044053559228248,lgCL_train
3337,-0.45064636,-0.3503806645600389,lgCL_train
3344,-0.806875402,-0.44671421309675213,lgCL_train
3345,-0.549750892,-0.35071275320365863,lgCL_train
3366,-0.920818754,-0.6106059682930118,lgCL_train
3372,-0.235077015,-0.33537775646650164,lgCL_train
3373,-0.017728767,-0.04524508632090796,lgCL_train
3380,-1.075720714,-0.9752190870842553,lgCL_train
3385,0.193124598,-0.07370287547345533,lgCL_train
3394,-1.811674297,-1.7116954799269704,lgCL_train
3406,-1.358525889,-0.35893348786104284,lgCL_train
3410,0.079181246,0.17934294528048667,lgCL_train
3415,-0.899629455,-0.9580405445307513,lgCL_train
3440,-1.017728767,-0.9179277244087576,lgCL_train
3450,-1.042871802,-0.9427433495399473,lgCL_train
3463,-0.953003439,-0.9006004028390393,lgCL_train
3488,-1.308034897,-1.2079603628708284,lgCL_train
3547,0.667452953,-0.2701124868842727,lgCL_train
3590,-0.191653964,-0.6995391857630552,lgCL_train
3608,-0.690369833,-0.790672241106741,lgCL_train
3637,0.707570176,0.21326692669497538,lgCL_train
3639,-0.483370203,-0.5833428494153139,lgCL_train
3647,-0.235077015,-0.33506303074695293,lgCL_train
3652,-0.180456064,-0.28056655102407796,lgCL_train
