PUBCHEM_CID,Actual,Predicted,Dataset
15,-1.504455662,-1.1401442278124883,lgFu_train
72,-0.101549075,-0.21246855060470027,lgFu_train
135,-0.188090026,-0.287929225764223,lgFu_train
191,-0.161150909,-0.11010922433687464,lgFu_train
214,-1.096910018,-0.889605152779336,lgFu_train
237,-0.987162775,-1.5973087521483023,lgFu_train
241,-0.337242168,-0.4992358276580606,lgFu_train
253,-0.09691001,-0.19711577703565797,lgFu_train
288,-0.001087096,-0.05769221286569248,lgFu_train
322,-0.458420762,-0.5135747762159482,lgFu_train
323,-0.716156253,-0.8163705655006184,lgFu_train
335,-0.420168459,-0.41896199496204367,lgFu_train
338,-0.931814138,-0.4922286805583649,lgFu_train
342,-0.440093375,-0.43776697396708397,lgFu_train
356,-0.986867724,-1.066343466917307,lgFu_train
370,-0.166215622,-0.2662907200097966,lgFu_train
401,-0.09691001,-0.1383371155715658,lgFu_train
444,-0.434752706,-0.3346722255097644,lgFu_train
460,-0.244887734,-0.3448522538801817,lgFu_train
564,-0.03621217,-0.13634461711153567,lgFu_train
568,-3.0,-2.2489900525898636,lgFu_train
581,-0.769551079,-0.6694506948674862,lgFu_train
596,-0.041615157,0.05683446919141444,lgFu_train
698,-1.393618635,-1.3936554071158003,lgFu_train
709,-0.570651515,-0.6759588292903891,lgFu_train
727,-1.568100731,-1.668385812554751,lgFu_train
815,-0.004364805,-0.0816291618041074,lgFu_train
836,-0.086627728,-0.18666909791047015,lgFu_train
838,-0.301029996,-0.2872328140215914,lgFu_train
861,-1.698970004,-1.5305715249156715,lgFu_train
904,-0.031517049,-0.12133296641984259,lgFu_train
931,-1.8069332,-1.4343446278982117,lgFu_train
938,-0.210709505,-0.16116769038986334,lgFu_train
951,-0.301029996,-0.27707542975538035,lgFu_train
957,-0.189095719,-0.2893262051181601,lgFu_train
971,-0.001087096,-0.10099999034392604,lgFu_train
978,-0.11577123,-0.2159053508858335,lgFu_train
980,-0.810165983,-0.7103484509309441,lgFu_train
992,-1.527148513,-1.6270437037624874,lgFu_train
1027,-0.698970004,-1.3435061844413503,lgFu_train
1046,-0.045757491,0.04728337735182486,lgFu_train
1054,-0.001087096,-0.10137008424934058,lgFu_train
1065,-0.789146639,-0.6768371372090716,lgFu_train
1072,-0.397940003,-0.4982669392104182,lgFu_train
1130,-1.096910013,-0.3984138719106698,lgFu_train
1134,-0.014573526,0.08553762707373513,lgFu_train
1140,-0.522878745,-0.6228565057040955,lgFu_train
1148,-0.698970004,-0.5986604638245522,lgFu_train
1183,-0.492144128,-0.5924345020078141,lgFu_train
1206,-0.070581072,-0.3044361111662096,lgFu_train
1207,-0.276708554,-0.5762836873393479,lgFu_train
1211,-0.241592809,-0.3416500024780913,lgFu_train
1234,-1.0,-1.0814342483007928,lgFu_train
1287,-1.055517318,-1.1554640835445262,lgFu_train
1480,-1.896196279,-1.734724829620253,lgFu_train
1486,-1.38695141,-1.4866574651681816,lgFu_train
1489,-2.116007775,-1.4811658839081523,lgFu_train
1546,-0.0275066,-0.07236585922516614,lgFu_train
1615,-0.455931962,-0.35573171913479196,lgFu_train
1732,-1.140861703,-1.0406377967747134,lgFu_train
1744,-2.721246399,-2.5435581877435007,lgFu_train
1775,-1.0,-0.9000006878692036,lgFu_train
1923,-0.926645015,-0.4859472355521973,lgFu_train
1935,-0.346787486,-1.2201444464913689,lgFu_train
1971,-0.301029996,-0.33980759738859667,lgFu_train
1973,-1.46470588,-1.5649264565138772,lgFu_train
1981,-1.0,-1.4716335721417937,lgFu_train
1982,-0.061282438,-0.16160828920647252,lgFu_train
1983,-0.055517328,-0.28075910234406154,lgFu_train
1986,-1.221848753,-0.2524841298608339,lgFu_train
1988,-0.804515477,-0.7110845727104378,lgFu_train
1989,-0.602059991,-1.0576586538055537,lgFu_train
1997,-0.698970004,-0.5096718471968391,lgFu_train
2021,-0.022276397,-0.12245989052949158,lgFu_train
2078,-0.873462748,-0.6189729079268349,lgFu_train
2082,-0.931481269,-1.0860488474170527,lgFu_train
2083,-0.045757491,-0.05773112833435623,lgFu_train
2086,-0.318017926,-0.21805294777920492,lgFu_train
2087,-1.872963349,-1.772773334964261,lgFu_train
2088,-0.677780716,-0.33460347344252106,lgFu_train
2092,-0.93930216,-0.8392636368372721,lgFu_train
2118,-0.698970004,-0.803430958967981,lgFu_train
2119,-0.657577319,-0.400473087096996,lgFu_train
2123,-1.22184875,-1.1221638920339976,lgFu_train
2130,-0.48148606,-0.38146690479140066,lgFu_train
2132,-1.0,-0.6811904069395798,lgFu_train
2140,-0.010995384,-0.11096852945845215,lgFu_train
2142,-0.048176962,-0.14838242690271453,lgFu_train
2145,-0.201579567,-0.25927832259375716,lgFu_train
2153,-0.387216143,-0.17268442283514274,lgFu_train
2157,-1.397940009,-1.4979034430548877,lgFu_train
2159,-0.075720714,-0.08605255001898904,lgFu_train
2160,-1.200659451,-1.100290397654937,lgFu_train
2162,-1.420216403,-1.3201124515453324,lgFu_train
2164,-0.346787486,-0.44652627907641307,lgFu_train
2170,-0.98029294,-1.1411566221778018,lgFu_train
2177,-1.0,-1.1001344516934395,lgFu_train
2187,-0.251811973,-0.35204625299505343,lgFu_train
2193,-0.758545929,-1.0924263398214993,lgFu_train
2196,-0.468521083,-0.3688294741425744,lgFu_train
2206,-0.045757491,-0.14602130648087774,lgFu_train
2215,-1.007961484,-0.9077887619074192,lgFu_train
2218,-1.301029987,-0.9932645923010195,lgFu_train
2226,-0.036212168,-0.11863753994378379,lgFu_train
2244,-0.522878745,-0.5102777912003245,lgFu_train
2247,-1.638272164,-1.738582504345088,lgFu_train
2249,-0.283996656,-0.18378800389111305,lgFu_train
2250,-1.698970004,-1.8781110139409454,lgFu_train
2256,-0.915990045,-1.2353494563531464,lgFu_train
2262,-1.173925184,-1.1722532972117559,lgFu_train
2265,-0.489857301,-0.41924577483598247,lgFu_train
2267,-0.920818754,-1.2110756974826808,lgFu_train
2271,-0.177178354,-0.2473917621036099,lgFu_train
2273,-1.397940009,-1.497908428622098,lgFu_train
2282,-0.09691001,-0.1972053123525188,lgFu_train
2284,-0.154901963,-0.32420861471407936,lgFu_train
2307,-0.886056648,-0.9864331892721707,lgFu_train
2308,-0.886056648,-0.9863091394471207,lgFu_train
2314,-0.704394786,-0.6044429289752292,lgFu_train
2319,-2.903089987,-2.803423247560561,lgFu_train
2328,-1.6821107,-0.5119063303677989,lgFu_train
2333,-2.0,-2.0996174146055084,lgFu_train
2336,-1.588211995,-1.7372022194823185,lgFu_train
2337,-0.4710833,-0.5329112681700172,lgFu_train
2341,-0.886056648,-0.9752957249436194,lgFu_train
2366,-0.013228259,-0.061725315045042084,lgFu_train
2367,-1.019542108,-1.1194441476473778,lgFu_train
2368,-0.045757495,-0.10323301591775835,lgFu_train
2369,-0.301029996,-0.40091985788369455,lgFu_train
2372,-1.645153066,-1.334387022565391,lgFu_train
2375,-1.441891698,-1.3416551647244424,lgFu_train
2377,-1.301029987,-0.9889281702310353,lgFu_train
2405,-0.148741651,-0.24886860527470622,lgFu_train
2431,-0.031517049,-0.13152068877676326,lgFu_train
2443,-1.609182141,-1.5091994488771596,lgFu_train
2446,-0.221848746,-0.25417082183414275,lgFu_train
2451,-1.026872146,-1.1267481815932543,lgFu_train
2467,-0.397940009,-0.2979071428569502,lgFu_train
2468,-0.045757495,-0.14604481059380703,lgFu_train
2472,-1.273001271,-0.79146013026573,lgFu_train
2477,-0.975584955,-0.700224414872706,lgFu_train
2478,-0.170053304,-0.06995338093231118,lgFu_train
2479,-0.130768277,-0.23047888998803645,lgFu_train
2512,-0.229147999,-0.45246981845500267,lgFu_train
2518,-0.468521083,-0.45177143027181543,lgFu_train
2519,-0.193820026,-0.2941757317685132,lgFu_train
2520,-1.0,-0.8998768872486189,lgFu_train
2524,-1.778151242,-1.8780245883342466,lgFu_train
2538,-1.732828272,-1.3580965003345975,lgFu_train
2540,-2.0,-1.8999306123988648,lgFu_train
2554,-0.439986227,-0.5401380958377359,lgFu_train
2560,-0.275539839,-0.3130083503671316,lgFu_train
2561,-2.124938737,-2.025003187330519,lgFu_train
2563,-0.193820029,-0.2933176408421331,lgFu_train
2566,-0.375382856,-0.540594365069105,lgFu_train
2576,-0.376750715,-0.4769555202407346,lgFu_train
2578,-0.638272164,-0.7380698774771494,lgFu_train
2581,-2.0,-2.2353659741042042,lgFu_train
2583,-0.070581069,-0.17073414599833936,lgFu_train
2584,-0.142667499,-0.24251264726820387,lgFu_train
2609,-0.124938737,-0.22504223183445948,lgFu_train
2614,-0.596307666,-0.6959921888630671,lgFu_train
2616,-0.293851411,-0.3744886160563302,lgFu_train
2624,-0.397940009,-0.49795707264952527,lgFu_train
2626,-0.719195919,-0.6829238297522158,lgFu_train
2628,-0.738737131,-0.79841744507146,lgFu_train
2635,-0.221848742,-0.32174372970192133,lgFu_train
2638,-0.209363038,-0.16388650778250358,lgFu_train
2645,-0.148741657,-0.24858576519853137,lgFu_train
2646,-0.21944268,-0.20763163399828277,lgFu_train
2650,-0.089175568,-0.18929559515797378,lgFu_train
2654,-0.455931962,-0.35556616481784353,lgFu_train
2657,-1.259637311,-0.8746698871776553,lgFu_train
2659,-0.207608308,-0.2039358089275486,lgFu_train
2662,-1.74878644,-1.258182355471238,lgFu_train
2663,-0.124938737,-0.22499744235485797,lgFu_train
2678,-1.15490196,-1.2505140003054676,lgFu_train
2691,-0.376647318,-0.47670279805366256,lgFu_train
2717,-0.301029996,-0.20085345583976644,lgFu_train
2719,-0.332547047,-0.5454558693096,lgFu_train
2720,-0.522878738,-0.565306484979717,lgFu_train
2725,-0.424812155,-0.5249519983434692,lgFu_train
2726,-1.408935393,-1.4589868692626,lgFu_train
2727,-1.522878745,-1.420844345221009,lgFu_train
2728,-1.367542708,-1.2673156888230852,lgFu_train
2729,-2.0,-1.6431694096887237,lgFu_train
2730,-2.100621237,-2.6062984833744975,lgFu_train
2735,-0.455931956,-1.717933488960808,lgFu_train
2747,-0.301029996,-0.8993353840405733,lgFu_train
2749,-1.346787486,-1.2466390347359853,lgFu_train
2751,-0.124938737,-0.2245863086264187,lgFu_train
2754,-1.425968732,-1.5257499682213012,lgFu_train
2763,-1.301029987,-2.0063517989520085,lgFu_train
2769,-1.698970004,-1.4108871334503987,lgFu_train
2771,-0.744727495,-0.6445306853778836,lgFu_train
2789,-0.778151251,-0.7901281548977251,lgFu_train
2797,-1.698970004,-1.7819208065073022,lgFu_train
2803,-0.15490196,-0.25494649207330755,lgFu_train
2804,-0.301029996,-0.40122850598687676,lgFu_train
2809,-1.045757481,-1.1458011819805511,lgFu_train
2811,-2.0,-1.7301657459652393,lgFu_train
2814,-1.301029987,-1.2008963341587835,lgFu_train
2825,-0.193820028,-0.31392100614671103,lgFu_train
2833,-0.204860029,-0.6687453053305454,lgFu_train
2863,-1.301029987,-0.8173514443640072,lgFu_train
2871,-2.903039612,-2.803280405663604,lgFu_train
2882,-0.494850028,-0.5948425676436244,lgFu_train
2895,-1.130292948,-1.2537038534389895,lgFu_train
2900,-0.201349355,-0.11040700744515752,lgFu_train
2913,-1.602059991,-1.1893654357094237,lgFu_train
2914,-1.233587153,-1.3335560524287642,lgFu_train
2943,-1.778272583,-1.6780706791789075,lgFu_train
2952,-0.958607315,-1.058830673418345,lgFu_train
2955,-0.602059991,-0.5018207494138462,lgFu_train
2958,-1.522878745,-1.3205386940440984,lgFu_train
2966,-0.823908726,-0.19867024771822417,lgFu_train
2973,-0.045757491,-0.18609616506476123,lgFu_train
2982,-2.0,-2.340436127448287,lgFu_train
2995,-0.787812396,-0.6877083813528836,lgFu_train
2997,-1.522878745,-1.4228980867747985,lgFu_train
2999,-1.691791416,-1.5566975887069505,lgFu_train
3007,-0.15442564,-0.2545086031850714,lgFu_train
3008,-0.27572413,-0.37570925061778193,lgFu_train
3009,-0.001087096,-0.06724233926261558,lgFu_train
3017,-1.685079944,-2.0967972655831497,lgFu_train
3026,-1.490679337,-1.0594652259250237,lgFu_train
3030,-0.827475879,-0.7946036774694663,lgFu_train
3031,-1.209691376,-1.1096799823934806,lgFu_train
3033,-2.301029996,-2.0124799039112182,lgFu_train
3037,-2.346787486,-2.246614023721233,lgFu_train
3042,-2.0,-1.8996702192237227,lgFu_train
3048,-1.848703451,-1.7483717072762435,lgFu_train
3049,-0.455931956,-1.3058061783758355,lgFu_train
3052,-0.001087096,-0.10138464759510013,lgFu_train
3054,-2.330218385,-2.2214461314253313,lgFu_train
3059,-2.55478949,-1.6919539826849306,lgFu_train
3061,-1.205279651,-1.1052802863926254,lgFu_train
3066,-1.15490196,-1.2550938884518679,lgFu_train
3070,-2.0,-1.8898827475665207,lgFu_train
3073,-0.012000143,-0.06777454574310626,lgFu_train
3082,-0.015854045,-0.11597256894701813,lgFu_train
3100,-0.815308569,-0.7155478675524085,lgFu_train
3102,-1.184222449,-1.4058471820506941,lgFu_train
3108,-1.0,-0.9001000596427647,lgFu_train
3114,-0.37161107,-0.47175592536942323,lgFu_train
3117,-0.301029996,-0.4010336850797399,lgFu_train
3120,-0.782671815,-0.6823774392273542,lgFu_train
3121,-0.924453039,-0.8286181475521958,lgFu_train
3143,-1.416423418,-1.3160853223418034,lgFu_train
3148,-0.522878738,-0.6231729135119309,lgFu_train
3150,-0.036212173,-0.13636377023499624,lgFu_train
3152,-0.989198642,-1.5203201676580704,lgFu_train
3154,-0.154901963,-0.2550113740064325,lgFu_train
3155,-0.823908726,-1.2643638386910736,lgFu_train
3158,-0.673459331,-0.9250499715200842,lgFu_train
3181,-1.522878745,-1.3543287694874289,lgFu_train
3182,-0.22184875,-0.12183213016145067,lgFu_train
3191,-1.698970004,-2.0208697673072966,lgFu_train
3198,-2.257274869,-2.225424903677899,lgFu_train
3224,-2.903089987,-2.802910434444134,lgFu_train
3225,-0.061980903,-0.04495485273875577,lgFu_train
3235,-1.002176919,-1.1022147977392311,lgFu_train
3247,-1.234331445,-1.3854601981457721,lgFu_train
3261,-1.15490196,-0.8755107320392208,lgFu_train
3278,-1.0,-1.1000962890080754,lgFu_train
3279,-0.459045191,-0.3592853819418691,lgFu_train
3281,-0.338818553,-0.43916463612884504,lgFu_train
3282,-0.301029996,-0.4026728536037121,lgFu_train
3285,-1.744727495,-1.6443115221518145,lgFu_train
3286,-3.0,-2.4984500338360855,lgFu_train
3291,-0.001087096,0.01239406457171266,lgFu_train
3293,-1.970858927,-1.8705100274477733,lgFu_train
3295,-0.958607315,-0.8993165030446469,lgFu_train
3304,-0.488116639,-0.5880918185297087,lgFu_train
3307,-1.15490196,-1.077563802729476,lgFu_train
3308,-2.0,-1.9138758246592544,lgFu_train
3312,-2.0,-1.9001476112793938,lgFu_train
3314,-0.716334739,-0.7205938898491424,lgFu_train
3324,-0.070581069,-0.1516169308612214,lgFu_train
3331,-0.11350928,-0.21319072463152178,lgFu_train
3333,-2.0,-1.899960690094828,lgFu_train
3335,-1.756961951,-1.85951566236388,lgFu_train
3336,-1.618285999,-1.6780585904863359,lgFu_train
3339,-2.042153366,-2.0508155654072704,lgFu_train
3341,-0.920818754,-0.8207830759415035,lgFu_train
3342,-2.187086643,-2.1170123065891766,lgFu_train
3345,-0.756961951,-0.6777267888405438,lgFu_train
3346,-2.903089987,-2.7771931948715687,lgFu_train
3348,-0.443513273,-0.9792235634557253,lgFu_train
3352,-2.903089987,-2.623489146340919,lgFu_train
3360,-0.823908726,-1.3896231785569502,lgFu_train
3366,-0.015472687,-0.11535369792203176,lgFu_train
3367,-0.086627728,0.013597829753914992,lgFu_train
3371,-1.0,-1.626752393845125,lgFu_train
3372,-1.539677499,-1.4396289884315747,lgFu_train
3378,-1.301029987,-1.401117196571731,lgFu_train
3379,-0.301029996,-0.4330940258685585,lgFu_train
3380,-0.632023214,-0.7321247133091289,lgFu_train
3383,-0.721475035,-1.6947916273125925,lgFu_train
3386,-1.177157896,-0.9069217177461002,lgFu_train
3387,-2.0,-1.1642442053716846,lgFu_train
3393,-1.522878745,-1.4229794365610007,lgFu_train
3394,-2.0,-1.93131833246363,lgFu_train
3397,-1.328496553,-1.3007008924206434,lgFu_train
3399,-1.348888667,-1.2863339198853103,lgFu_train
3403,-2.196594427,-1.4175445348153186,lgFu_train
3404,-0.611721137,-0.6901820484934361,lgFu_train
3406,-0.001087096,-0.10134035987322854,lgFu_train
3410,-0.293439007,-0.47646404985818047,lgFu_train
3413,-0.795880017,-0.6956908334517437,lgFu_train
3415,-0.070581074,-0.06414349020036125,lgFu_train
3420,-1.301029987,-1.4013749097966182,lgFu_train
3440,-0.46470588,-0.8209297217304821,lgFu_train
3461,-0.002176919,0.02214879399454106,lgFu_train
3463,-2.080575455,-2.165792836003325,lgFu_train
3468,-1.858767067,-1.758644279331256,lgFu_train
3473,-0.850780887,-0.7505957784924057,lgFu_train
3475,-1.045757491,-1.122106286185564,lgFu_train
3476,-2.079181237,-1.9790374119007053,lgFu_train
3487,-0.301029996,-0.27790023311280176,lgFu_train
3488,-2.331270369,-2.3193455660637907,lgFu_train
3494,-0.305394801,-0.261691834772261,lgFu_train
3503,-2.0,-1.8999313754555816,lgFu_train
3510,-0.455931958,-0.4231157383781733,lgFu_train
3518,-0.022276397,0.0778818348630419,lgFu_train
3589,-1.363231924,-1.4633412196464763,lgFu_train
