PUBCHEM_CID,Actual,Predicted,Dataset
681,0.597036665,0.0413578158935958,lgCL_test
1676,-0.619788758,-0.4807488027545344,lgCL_test
1978,-0.22184875,-0.5664567480101284,lgCL_test
2099,-0.282329497,-0.3917731182528541,lgCL_test
2141,0.264581729,-0.8140484448287275,lgCL_test
2165,1.114610984,-0.310775660236757,lgCL_test
2179,-0.588380294,-1.089852556385375,lgCL_test
2381,-0.142667504,-0.5976773251087221,lgCL_test
2441,-1.514278574,-1.744366205447066,lgCL_test
2471,-0.823908741,-0.9363157446148708,lgCL_test
2541,-1.653647026,-0.8597344140083722,lgCL_test
2708,-0.774690718,-0.3252858625257508,lgCL_test
2756,-0.313363731,-0.1958918760955952,lgCL_test
2764,-0.302770657,-0.4785350918781135,lgCL_test
2802,-1.277366077,-1.60794643228507,lgCL_test
2907,-1.180456064,-1.042309673084006,lgCL_test
2942,-0.806875402,-0.6789487273501683,lgCL_test
3019,-2.443697499,-1.3900008883934205,lgCL_test
3151,-0.244125144,-0.5196970683780664,lgCL_test
3157,-1.017728767,-0.9448364543236716,lgCL_test
3168,-0.271483895,-0.4035094333797536,lgCL_test
3229,-0.48945499,-0.4497477170836297,lgCL_test
3306,-0.075720714,-0.8076634179304119,lgCL_test
3325,-0.402304814,-0.6379330640269141,lgCL_test
3343,0.240549248,0.1578596785330289,lgCL_test
3356,-0.53165267,-0.7083840567882003,lgCL_test
3357,-0.841637508,-0.9171599166943294,lgCL_test
3365,-1.730487056,-1.1007246234629862,lgCL_test
3446,-0.991399828,-1.010020824130755,lgCL_test
3478,-1.473660723,-0.9562792492657924,lgCL_test
3519,-0.568636236,-0.9085116322913038,lgCL_test
3559,-0.329754147,-0.2039309385854238,lgCL_test
3676,-0.017728767,-0.3939226639769141,lgCL_test
3749,-0.860120914,-0.7966539723629957,lgCL_test
3779,0.526339277,0.0719896892246263,lgCL_test
3822,-0.395773947,-0.6691234722670828,lgCL_test
3869,0.139879086,-0.2398818089765691,lgCL_test
3883,-0.578396073,-0.7920320809309803,lgCL_test
3961,-0.308034897,-0.9313309373157762,lgCL_test
4030,-0.045757491,-0.8741966406151238,lgCL_test
4062,-0.389339837,-0.418417830920876,lgCL_test
4197,-0.42945706,-0.7004162998384833,lgCL_test
4212,-0.324221658,-0.4759345674622746,lgCL_test
4411,-0.759450752,-0.1762408926557829,lgCL_test
4440,-0.402304814,-0.2791684179200683,lgCL_test
4506,-1.287350298,-1.321476790390934,lgCL_test
4583,-0.823908741,-0.6796274577699827,lgCL_test
4594,-0.297569464,-0.798763465662496,lgCL_test
4634,-0.514278574,-0.4357515579287329,lgCL_test
4679,-0.879426069,-0.8343125765172797,lgCL_test
4831,-0.76853041,-0.2224612806860929,lgCL_test
4906,0.240549248,-0.1601633704981625,lgCL_test
4919,-1.287350298,-0.3461917836987465,lgCL_test
5029,-0.619788758,-0.6895681018962206,lgCL_test
5035,-0.188424994,-0.2965432910227315,lgCL_test
5095,0.255272505,-0.2823674558883462,lgCL_test
