PUBCHEM_CID,Actual,Predicted,Dataset
681,0.597036665,0.20594962,lgCL_test
1676,-0.619788758,-0.4411646,lgCL_test
1978,-0.22184875,-0.24758834,lgCL_test
2099,-0.282329497,-0.6395873,lgCL_test
2141,0.264581729,-0.8480739,lgCL_test
2165,1.114610984,-0.19613299,lgCL_test
2179,-0.588380294,-1.6179664,lgCL_test
2381,-0.142667504,-0.4239006,lgCL_test
2441,-1.514278574,-2.142853,lgCL_test
2471,-0.823908741,-0.80947256,lgCL_test
2541,-1.653647026,-0.76670223,lgCL_test
2708,-0.774690718,-0.31191134,lgCL_test
2756,-0.313363731,-0.03407914,lgCL_test
2764,-0.302770657,-0.7706625,lgCL_test
2802,-1.277366077,-1.9799259,lgCL_test
2907,-1.180456064,-0.83873147,lgCL_test
2942,-0.806875402,-0.9211486,lgCL_test
3019,-2.443697499,-2.0297036,lgCL_test
3151,-0.244125144,-0.39417326,lgCL_test
3157,-1.017728767,-0.771532,lgCL_test
3168,-0.271483895,-0.48045623,lgCL_test
3229,-0.48945499,-0.8069548,lgCL_test
3306,-0.075720714,-0.048523653,lgCL_test
3325,-0.402304814,-0.27993894,lgCL_test
3343,0.240549248,0.33599353,lgCL_test
3356,-0.53165267,-1.6464689,lgCL_test
3357,-0.841637508,-0.6187405,lgCL_test
3365,-1.730487056,-0.8733924,lgCL_test
3446,-0.991399828,-0.7399375,lgCL_test
3478,-1.473660723,-0.9569865,lgCL_test
3519,-0.568636236,-0.47926167,lgCL_test
3559,-0.329754147,-0.43369773,lgCL_test
3676,-0.017728767,-0.4234752,lgCL_test
3749,-0.860120914,-0.47245032,lgCL_test
3779,0.526339277,0.07453756,lgCL_test
3822,-0.395773947,-0.46474603,lgCL_test
3869,0.139879086,-0.19971788,lgCL_test
3883,-0.578396073,-0.92019457,lgCL_test
3961,-0.308034897,-0.61427593,lgCL_test
4030,-0.045757491,-1.1590452,lgCL_test
4062,-0.389339837,-0.40650737,lgCL_test
4197,-0.42945706,-0.38548964,lgCL_test
4212,-0.324221658,0.22638299,lgCL_test
4411,-0.759450752,-0.83594334,lgCL_test
4440,-0.402304814,-0.5262957,lgCL_test
4506,-1.287350298,-1.932798,lgCL_test
4583,-0.823908741,-0.66770655,lgCL_test
4594,-0.297569464,-0.7047455,lgCL_test
4634,-0.514278574,-0.04859614,lgCL_test
4679,-0.879426069,-1.0246898,lgCL_test
4831,-0.76853041,-0.6802539,lgCL_test
4906,0.240549248,-0.51203316,lgCL_test
4919,-1.287350298,-0.31705233,lgCL_test
5029,-0.619788758,-0.6542556,lgCL_test
5035,-0.188424994,-0.12086651,lgCL_test
5095,0.255272505,-0.3759492,lgCL_test
5215,-1.48148606,-1.8286943,lgCL_test
5253,-0.920818754,-0.5578317,lgCL_test
5291,-0.70333481,-0.42944676,lgCL_test
5329,-1.665546249,-1.6115124,lgCL_test
5339,-1.806875402,-1.4773372,lgCL_test
5344,-1.744727495,-1.2591269,lgCL_test
5358,0.056904851,-0.62100786,lgCL_test
5379,-0.774690718,-0.9294543,lgCL_test
5403,-0.690369833,-0.08108937,lgCL_test
5467,-0.549750892,-0.58797616,lgCL_test
5735,-0.70333481,-0.45631656,lgCL_test
6249,-0.774690718,-0.79171675,lgCL_test
8223,-0.045757491,-0.6198826,lgCL_test
12560,-0.473660723,-0.46546546,lgCL_test
13342,-0.730487056,-0.7941527,lgCL_test
27447,-0.630784143,-0.88300127,lgCL_test
31703,-0.045757491,-0.004711774,lgCL_test
33255,-1.272458743,-0.8652239,lgCL_test
33613,-0.70333481,-0.7359036,lgCL_test
37910,-0.075720714,-0.40225053,lgCL_test
38103,-0.70333481,-0.7912428,lgCL_test
38853,-0.677780705,-0.29657596,lgCL_test
38945,-0.879426069,-0.77858275,lgCL_test
39186,-0.107905397,-0.15920743,lgCL_test
41049,0.225309282,-0.023813453,lgCL_test
41781,-1.49757288,-1.2300289,lgCL_test
47528,-0.272458743,-0.4371024,lgCL_test
47965,-0.823908741,-0.75464237,lgCL_test
51081,-0.920818754,-0.6886793,lgCL_test
53084,-0.568636236,-0.50178057,lgCL_test
53276,-1.017728767,-0.46950796,lgCL_test
54477,-0.991399828,-0.3021568,lgCL_test
54766,0.033423755,-0.5649838,lgCL_test
58505,-0.653647026,-0.6235551,lgCL_test
60063,-0.549750892,-0.83560723,lgCL_test
60172,-0.653647026,-0.77248734,lgCL_test
60404,-1.200659451,-1.3737649,lgCL_test
60464,-0.790484985,-0.99166214,lgCL_test
60648,-1.017728767,-0.45121503,lgCL_test
60726,-1.107905397,-0.5871475,lgCL_test
60753,0.193124598,-0.54560846,lgCL_test
60795,-1.302770657,-0.51631814,lgCL_test
60854,-0.514278574,-0.45655245,lgCL_test
60855,-1.017728767,-0.7448405,lgCL_test
60857,-0.395773947,-0.2630386,lgCL_test
65820,-1.619788758,-0.54375297,lgCL_test
65906,-1.209011525,-0.7294445,lgCL_test
65981,-0.329754147,-0.6776362,lgCL_test
65999,-0.297569464,-0.87393814,lgCL_test
68740,-0.879426069,-0.8853356,lgCL_test
68741,-1.70333481,-0.57009846,lgCL_test
68770,-0.53165267,-0.50128114,lgCL_test
71329,-0.505845406,-0.50225556,lgCL_test
71616,-0.302770657,-0.91880673,lgCL_test
71733,-0.272458743,-0.44726723,lgCL_test
77999,-1.408935393,-1.0486817,lgCL_test
84029,-0.358525889,-0.67505723,lgCL_test
104838,-0.744727495,-0.47255176,lgCL_test
104865,-0.899629455,-0.65369207,lgCL_test
107994,-1.253365801,-0.6308777,lgCL_test
115237,-1.149966742,-0.5607436,lgCL_test
119607,-1.075720714,-0.91392124,lgCL_test
121892,-0.302770657,-0.36007977,lgCL_test
126941,-0.899629455,-0.72178465,lgCL_test
129211,-1.42945706,-0.48815694,lgCL_test
149096,-0.943095149,-0.6953675,lgCL_test
150610,-1.568636236,-0.6680608,lgCL_test
151171,-0.744727495,-0.99783987,lgCL_test
151174,-0.313363731,-0.66352594,lgCL_test
152946,-0.841637508,-0.86547214,lgCL_test
155774,-0.744727495,-0.11887662,lgCL_test
158781,-1.759450752,-0.8403543,lgCL_test
175805,-0.48148606,-0.3766131,lgCL_test
183797,-0.943095149,-0.67381376,lgCL_test
208898,0.300986564,-0.5423861,lgCL_test
214356,-1.107905397,-0.789066,lgCL_test
216210,-0.936291441,-0.45884603,lgCL_test
441243,-0.107905397,-0.8044273,lgCL_test
441314,-0.991399828,-0.7366679,lgCL_test
443879,-0.297569464,-0.41127387,lgCL_test
446156,-0.759450752,-0.81741583,lgCL_test
446598,-0.568636236,0.16433528,lgCL_test
449193,-0.879426069,-1.3502471,lgCL_test
461399,-0.653647026,-0.6839626,lgCL_test
2723601,-0.034328029,-0.53287244,lgCL_test
3000540,-0.899629455,-0.01849015,lgCL_test
5281037,-0.943095149,-0.67592084,lgCL_test
5281040,-1.389339837,-0.7902605,lgCL_test
5284371,-0.045757491,-0.38019025,lgCL_test
5284596,0.139879086,-0.12638356,lgCL_test
5284603,-0.436518915,-0.46551406,lgCL_test
5288826,0.193124598,0.04291695,lgCL_test
5361092,0.390935107,-0.13170041,lgCL_test
5362065,-1.22184875,-0.8873016,lgCL_test
5362119,-1.142667504,-0.50321996,lgCL_test
5362440,0.033423755,-0.41732496,lgCL_test
5462501,-1.017728767,-0.5912916,lgCL_test
5479530,-1.879426069,-1.2694954,lgCL_test
5479537,-0.879426069,-0.9878188,lgCL_test
5487888,-0.943095149,-1.0498108,lgCL_test
5742673,-0.790484985,-1.0392864,lgCL_test
5742832,-1.045757491,-0.88610333,lgCL_test
6410758,-0.70333481,-0.7603702,lgCL_test
6433110,0.100370545,-0.1757192,lgCL_test
6918554,-0.570570736,-0.06835073,lgCL_test
9809656,-0.943095149,-0.8121776,lgCL_test
9852981,0.700357528,-1.0979297,lgCL_test
9931954,-0.587371479,-0.82969993,lgCL_test
11319053,-0.458420756,-0.7589428,lgCL_test
11552706,-0.645507399,-0.8109565,lgCL_test
11993740,-0.642065153,-0.6812301,lgCL_test
54677470,-2.142667504,-1.8313137,lgCL_test
54677971,-2.744727495,-2.1724598,lgCL_test
135398513,-0.549750892,-0.39241487,lgCL_test
135398739,-0.180456064,-0.2299783,lgCL_test
135398740,-0.559090918,-0.38443694,lgCL_test
135398744,-0.26760624,-0.30873126,lgCL_test
135398748,-0.297569464,-0.35634285,lgCL_test
135400189,-0.107905397,-0.34979212,lgCL_test
135401907,-0.180456064,-0.42262885,lgCL_test
135403648,-0.458420756,-0.67416304,lgCL_test
