PUBCHEM_CID,Actual,Predicted,Dataset
158,-0.568636236,-0.85050106,lgFu_test
471,-2.602059991,-1.3676581,lgFu_test
681,-0.045757495,-0.24301124,lgFu_test
896,-0.302770657,-0.70283234,lgFu_test
991,-2.903089987,-2.3038697,lgFu_test
996,-0.145664764,-0.21561098,lgFu_test
1345,-1.792177551,-1.9562446,lgFu_test
1493,-1.56501616,-0.55954516,lgFu_test
1593,-0.698970004,-1.4142327,lgFu_test
1676,-0.37135275,-0.13289201,lgFu_test
1805,-0.004364803,-0.008721814,lgFu_test
1978,-0.13076828,-0.2792641,lgFu_test
2099,-0.638272164,-0.9245117,lgFu_test
2141,-0.017728771,-0.08367129,lgFu_test
2154,-0.124938737,-0.6984509,lgFu_test
2165,-1.0,-1.3863702,lgFu_test
2179,-1.572676214,-2.087201,lgFu_test
2268,-0.670683749,-1.7982569,lgFu_test
2269,-0.084424303,-0.31068635,lgFu_test
2294,-0.045757495,-0.19965789,lgFu_test
2315,-1.22184875,-0.95448846,lgFu_test
2344,-1.301029996,-0.9191315,lgFu_test
2351,-2.124938737,-0.945668,lgFu_test
2381,-1.013228266,-0.7852439,lgFu_test
2441,-0.408935393,-0.6244617,lgFu_test
2471,-0.853871964,-1.6133337,lgFu_test
2474,-1.301029996,-0.53046805,lgFu_test
2528,0.0,-0.3064831,lgFu_test
2541,-2.602059991,-2.0633624,lgFu_test
2585,-1.698970004,-1.5757856,lgFu_test
2612,-0.610833913,-0.28236794,lgFu_test
2655,-0.143673977,-0.35368818,lgFu_test
2684,-0.070581069,-0.05185917,lgFu_test
2708,-0.472370099,-1.993824,lgFu_test
2710,-0.886056648,-0.9585772,lgFu_test
2732,-0.602059991,-0.68840504,lgFu_test
2733,-0.073143291,-1.3235037,lgFu_test
2756,-0.096910013,-0.2866452,lgFu_test
2762,-0.443697493,-0.7516744,lgFu_test
2764,-0.15490196,-0.3031002,lgFu_test
2783,-0.301029996,-0.35536638,lgFu_test
2801,-1.522878745,-0.8775822,lgFu_test
2802,-0.823908741,-1.353824,lgFu_test
2806,-1.782715548,-1.4982363,lgFu_test
2879,-0.486928866,-0.46264204,lgFu_test
2907,-0.096910013,-0.040173486,lgFu_test
2942,-0.005096556,-0.13034646,lgFu_test
3016,-1.455931956,-1.1247351,lgFu_test
3019,-1.22184875,-0.65078247,lgFu_test
3103,-2.0,-0.71535707,lgFu_test
3111,-0.397940003,-0.6145862,lgFu_test
3118,-2.902803447,-1.9677838,lgFu_test
3151,-1.091514981,-0.95714426,lgFu_test
3157,-1.607889538,-1.2849796,lgFu_test
3168,-1.301029987,-1.0827762,lgFu_test
3229,-0.187086643,-0.35985726,lgFu_test
3249,-2.301029996,-1.3862784,lgFu_test
3289,-1.03349924,-2.194144,lgFu_test
3306,-0.113509275,-0.17789946,lgFu_test
3325,-0.083546051,-0.25614497,lgFu_test
3343,-0.275724137,-0.50678974,lgFu_test
3347,-2.951541884,-2.1322684,lgFu_test
3356,-0.250509954,-0.7819061,lgFu_test
3357,-0.13667714,-0.39526886,lgFu_test
3365,-0.053056729,-0.3761451,lgFu_test
3373,-0.301029996,-0.5080551,lgFu_test
3446,-0.013228266,-0.11383124,lgFu_test
3478,-1.823908741,-1.1097379,lgFu_test
3519,-0.494850022,-0.31389895,lgFu_test
3559,-0.612610174,-1.0090299,lgFu_test
3657,0.0,-0.04736884,lgFu_test
3676,-0.522878745,-0.32064423,lgFu_test
3730,-0.005096556,-0.19380116,lgFu_test
3749,-1.0,-1.779127,lgFu_test
3767,-0.022276395,-0.0630402,lgFu_test
3779,-0.214138307,-0.173621,lgFu_test
3822,-1.259637311,-1.0993239,lgFu_test
3825,-2.0,-1.6249311,lgFu_test
3869,-0.301029996,-0.401505,lgFu_test
3883,-1.739430958,-1.7326244,lgFu_test
3958,-0.823908741,-1.621383,lgFu_test
3961,-1.853871964,-1.9411612,lgFu_test
3965,-1.397940009,-1.0400734,lgFu_test
4030,-1.124938737,-1.5499718,lgFu_test
4041,-2.124938737,-1.2645713,lgFu_test
4046,-1.650804724,-0.6260638,lgFu_test
4054,-0.259637307,-0.32813036,lgFu_test
4058,-0.37675071,-0.366708,lgFu_test
4062,-0.576754126,-0.40673357,lgFu_test
4174,-0.051489231,-0.90753365,lgFu_test
4178,-0.346787486,-0.4909109,lgFu_test
4197,-0.522878745,-0.9187946,lgFu_test
4212,-0.660051938,-0.48959935,lgFu_test
4264,-1.397940009,-0.8157958,lgFu_test
4342,-0.045757491,-0.2581417,lgFu_test
4411,-0.53387413,-0.22972827,lgFu_test
4440,-0.124938737,-0.34544316,lgFu_test
4485,-1.301029996,-0.5608939,lgFu_test
4499,-2.0,-1.0796008,lgFu_test
4506,-0.886056648,-0.91461015,lgFu_test
4509,-0.41595161,-0.110474855,lgFu_test
4583,-0.167491087,-0.41238838,lgFu_test
4594,-1.301029996,-1.4532136,lgFu_test
4631,-0.576754126,-0.30852258,lgFu_test
4634,-1.453567191,-0.8838053,lgFu_test
4679,-1.698970004,-1.6077149,lgFu_test
4739,-0.013228259,-0.037863582,lgFu_test
4746,-1.403437701,-1.6302125,lgFu_test
4790,-1.889312012,-1.840039,lgFu_test
4828,-0.22184875,-0.33628705,lgFu_test
4831,-0.154901963,-0.38385144,lgFu_test
4836,-0.11350928,-0.12038803,lgFu_test
4906,-0.145693958,-0.31812677,lgFu_test
4919,-0.301029996,-0.54814065,lgFu_test
4929,-2.903089987,-1.7616078,lgFu_test
4943,-1.677780705,-1.3731775,lgFu_test
4976,-1.096910018,-0.6694509,lgFu_test
5002,-0.769551079,-1.0548568,lgFu_test
5029,-1.431798276,-1.3681071,lgFu_test
5035,-1.88941029,-2.0498507,lgFu_test
5070,-1.470029056,-1.2897182,lgFu_test
5074,-2.0,-1.6446458,lgFu_test
5076,-1.789146635,-1.2248564,lgFu_test
5095,-0.221848742,-0.31484413,lgFu_test
5125,-1.171225208,-2.9088268,lgFu_test
5155,-0.00290499,0.011471868,lgFu_test
5193,-0.301029996,-0.21145809,lgFu_test
5215,-0.346787486,-0.5407667,lgFu_test
5216,-0.547574867,-1.274032,lgFu_test
5253,-0.000434512,-0.10911557,lgFu_test
5291,-1.072119311,-1.6102827,lgFu_test
5329,-0.638272164,-1.0584937,lgFu_test
5339,-2.259637311,-2.0138836,lgFu_test
5344,-1.102372909,-1.3258028,lgFu_test
5358,-0.083546051,-0.29937565,lgFu_test
5379,-0.096910013,-0.34966767,lgFu_test
5403,-0.13076828,-0.105504274,lgFu_test
5467,-0.001087096,-0.2272065,lgFu_test
5472,-1.425968732,-1.2578633,lgFu_test
5487,-0.15490196,-0.5102992,lgFu_test
5504,-0.11350928,-0.370843,lgFu_test
5556,-1.0,-0.9685731,lgFu_test
5566,-2.108226859,-1.3236105,lgFu_test
5717,-2.0,-2.2305634,lgFu_test
5735,-0.698970004,-0.35634577,lgFu_test
5754,-1.0,-0.473431,lgFu_test
5954,-1.950468952,-2.2771406,lgFu_test
5959,-0.358525889,-0.4322796,lgFu_test
6249,-0.070581074,-0.20291427,lgFu_test
6292,-0.823908726,-1.3709605,lgFu_test
6464,-0.420216403,-0.13715392,lgFu_test
6569,-0.058304752,-0.43225628,lgFu_test
6634,-1.522878745,-1.3054004,lgFu_test
6643,-3.0,-1.2941487,lgFu_test
6726,-0.397940003,-0.6818346,lgFu_test
7028,0.0,-0.39325476,lgFu_test
7421,-0.616184634,-0.3785525,lgFu_test
7714,-1.462180905,-1.3289254,lgFu_test
7964,-0.694605633,-1.2093093,lgFu_test
8223,-1.698970004,-0.86396325,lgFu_test
8268,-2.90308726,-2.4249768,lgFu_test
8411,-0.586340928,-1.0305102,lgFu_test
8461,-1.017633775,-1.2387942,lgFu_test
8652,-1.725842151,-1.706448,lgFu_test
8784,-1.301899454,-0.55754566,lgFu_test
9565,-0.698970004,-0.8312918,lgFu_test
9801,-1.522878745,-1.4253647,lgFu_test
10391,-0.275724143,-0.5703342,lgFu_test
10707,-1.15805269,-0.38203672,lgFu_test
10783,-0.443697496,-1.0667179,lgFu_test
10800,-2.57888987,-1.5084624,lgFu_test
12281,-1.282329497,-0.9124731,lgFu_test
12560,-1.0,-0.3866956,lgFu_test
12932,-2.170696227,-2.0545726,lgFu_test
13263,-2.488116639,-1.7724879,lgFu_test
13314,-0.920818754,-1.5010501,lgFu_test
13342,-0.853871964,-0.37712586,lgFu_test
13878,-0.337950837,-0.45718673,lgFu_test
15387,-0.301029996,-0.4241494,lgFu_test
16003,-1.719877104,-2.4481215,lgFu_test
16421,-1.993107788,-2.4356804,lgFu_test
17004,-1.565431096,-1.2069306,lgFu_test
22419,-2.124938737,-1.4749919,lgFu_test
26098,-2.259637311,-0.386072,lgFu_test
27447,-0.070581074,-0.2424665,lgFu_test
29393,-2.425968732,-2.5920067,lgFu_test
30479,-0.310831784,-0.49869964,lgFu_test
30668,-0.397940003,-0.599491,lgFu_test
31072,-0.031517049,-0.17866458,lgFu_test
31315,-1.575118363,-1.7107027,lgFu_test
31703,-0.602059991,-0.9989617,lgFu_test
31729,-0.183758698,-0.5009174,lgFu_test
32154,-1.165837953,-1.6677359,lgFu_test
33255,-0.838631998,-0.39740458,lgFu_test
33613,-0.096910013,-0.18862501,lgFu_test
35935,-2.602059991,-1.5032988,lgFu_test
37910,-1.045757491,-0.66782594,lgFu_test
38103,-0.022276395,-0.23256862,lgFu_test
38360,-1.598599459,-1.5979221,lgFu_test
38479,-2.903089987,-2.6256864,lgFu_test
38853,-0.070581074,-0.25542477,lgFu_test
38945,-0.060480747,-0.33867085,lgFu_test
39186,-0.698970004,-0.8107361,lgFu_test
41049,-0.136677137,-0.28201154,lgFu_test
41384,-3.0,-1.5155103,lgFu_test
41385,-0.028260409,-0.30024958,lgFu_test
41684,-1.301029996,-1.7473309,lgFu_test
41781,-2.0,-1.3106703,lgFu_test
43234,-1.294136288,-1.8089058,lgFu_test
44097,-0.11350928,-0.21131346,lgFu_test
44187,-0.903089987,-0.64240825,lgFu_test
47528,-0.124938737,-0.13243733,lgFu_test
47965,-0.408935393,-0.2365237,lgFu_test
51081,-0.124938737,-0.32454783,lgFu_test
51556,-1.769551079,-2.2538373,lgFu_test
53084,-0.065501549,-0.2933041,lgFu_test
53276,-0.823908741,-1.3281162,lgFu_test
54477,-0.657577319,-0.38660213,lgFu_test
54740,-0.537724573,-0.42519766,lgFu_test
54766,-0.259637307,-0.4085353,lgFu_test
54841,-1.698970004,-0.5691916,lgFu_test
58505,-0.017728767,-0.16613062,lgFu_test
59708,-0.037788562,-0.19245979,lgFu_test
60063,-0.017728767,-0.40195537,lgFu_test
60172,-0.017728767,-0.2568928,lgFu_test
60404,-0.911863911,-1.7059658,lgFu_test
60464,-0.213248578,-0.30361784,lgFu_test
60648,-1.420216403,-1.4333614,lgFu_test
60726,-2.805023443,-1.428871,lgFu_test
60753,-0.22184875,-0.22254197,lgFu_test
60795,-2.0,-1.4414964,lgFu_test
60815,-0.610833916,-0.33581918,lgFu_test
60854,-2.734260541,-1.7016165,lgFu_test
60855,-0.045757491,-0.118460715,lgFu_test
60857,-0.124938737,-0.30177101,lgFu_test
61719,-2.137868621,-2.0490973,lgFu_test
62459,-1.903089987,-1.3281128,lgFu_test
65015,-0.37675071,-0.32180786,lgFu_test
65820,-1.698970004,-2.032909,lgFu_test
65863,-2.0,-2.1044624,lgFu_test
65871,-1.718966633,-1.5682074,lgFu_test
65906,-1.698970004,-1.8750226,lgFu_test
65981,-1.698970004,-1.5458269,lgFu_test
65999,-2.22184875,-2.2280211,lgFu_test
67734,-2.872247808,-2.135933,lgFu_test
67818,-2.785175087,-1.9965382,lgFu_test
68740,-0.107905401,-0.20818354,lgFu_test
68741,-1.522878745,-1.1950129,lgFu_test
68770,-0.408935393,-0.57884026,lgFu_test
69785,-2.819609297,-2.4618301,lgFu_test
70837,-1.732828272,-1.6207561,lgFu_test
71329,-0.417325893,-0.7402461,lgFu_test
71616,-0.37675071,-0.64059114,lgFu_test
71733,-0.721246399,-0.43131018,lgFu_test
71771,-2.0,-1.6563134,lgFu_test
77999,-2.49148333,-1.8678596,lgFu_test
79878,-2.286509457,-1.4435955,lgFu_test
84029,-0.236572006,-0.3994596,lgFu_test
86173,-2.15490196,-2.136913,lgFu_test
86367,-2.647817482,-1.7353525,lgFu_test
89386,-2.124938737,-1.11554,lgFu_test
91754,-2.903089987,-2.394057,lgFu_test
104838,-0.065501549,-0.26566064,lgFu_test
104865,-1.748445282,-2.048754,lgFu_test
105010,-1.215627614,-1.868161,lgFu_test
107994,-0.494850022,-0.8498632,lgFu_test
115237,-0.638272164,-0.81916267,lgFu_test
119607,-1.65490196,-1.572921,lgFu_test
121892,-0.855425792,-1.5362918,lgFu_test
122087,-2.056134662,-1.3463936,lgFu_test
123610,-0.124938737,-0.32659414,lgFu_test
126941,-0.301029996,-0.7067411,lgFu_test
129211,-2.0,-0.55743575,lgFu_test
149096,-0.161150909,-0.40879363,lgFu_test
150610,-1.15490196,-0.56171805,lgFu_test
151171,-2.301029996,-2.0685363,lgFu_test
151172,-0.345823458,-0.29350907,lgFu_test
151174,-2.057991947,-1.778105,lgFu_test
152946,-0.301029996,-0.4669795,lgFu_test
155774,-0.013228266,-0.2545229,lgFu_test
158781,-2.0,-1.5080421,lgFu_test
159324,-2.15490196,-1.7076783,lgFu_test
175805,-1.22184875,-0.51165193,lgFu_test
