PUBCHEM_CID,Actual,Predicted,Dataset
681,-0.13076828,0.06328125,lgVD_test
1676,-0.200659451,0.128536,lgVD_test
1978,0.230448921,0.1510833,lgVD_test
2099,0.041392685,0.24158525,lgVD_test
2141,-1.045757491,-0.30681646,lgVD_test
2165,1.240549248,0.81535244,lgVD_test
2179,0.204119983,-0.23543856,lgVD_test
2381,1.079181246,0.5545076,lgVD_test
2441,-0.070581074,-0.3190769,lgVD_test
2471,-0.795880017,-0.4093143,lgVD_test
2541,-0.886056648,-0.42682517,lgVD_test
2708,-0.585026652,-0.4664063,lgVD_test
2756,0.079181246,0.053017072,lgVD_test
2764,0.322219295,0.02209695,lgVD_test
2802,0.462397998,-0.060469724,lgVD_test
2907,-0.13667714,-0.084500216,lgVD_test
2942,0.079181246,-0.019528061,lgVD_test
3019,-0.677780705,-0.1823343,lgVD_test
3151,0.531478917,0.8808756,lgVD_test
3157,0.113943352,-0.056162447,lgVD_test
3168,0.149219113,0.74059665,lgVD_test
3229,0.301029996,-0.09211139,lgVD_test
3306,0.322219295,0.2152203,lgVD_test
3325,0.079181246,-0.32361537,lgVD_test
3343,0.079181246,0.11836788,lgVD_test
3356,0.785329835,0.8570062,lgVD_test
3357,0.204119983,0.0706999,lgVD_test
3365,-0.124938737,0.13991505,lgVD_test
3446,-0.148741651,-0.25010037,lgVD_test
3478,-0.795880017,-0.10192721,lgVD_test
3519,0.748188027,-0.22595233,lgVD_test
3559,1.230448921,0.8285325,lgVD_test
3676,0.255272505,0.27936852,lgVD_test
3749,-0.026872146,0.57852125,lgVD_test
3779,0.176091259,0.18979767,lgVD_test
3822,0.591064607,0.7838749,lgVD_test
3869,0.681241237,0.45680246,lgVD_test
3883,-0.552841969,0.3854528,lgVD_test
3961,-0.431798276,0.657225,lgVD_test
4030,0.079181246,-0.11951732,lgVD_test
4062,-0.022276395,0.3027735,lgVD_test
4197,-0.602059991,0.18408301,lgVD_test
4212,1.079181246,0.67017686,lgVD_test
4411,0.278753601,-0.031288512,lgVD_test
4440,0.380211242,0.0843684,lgVD_test
4506,0.230448921,-0.08551601,lgVD_test
4583,0.204119983,0.0007562116,lgVD_test
4594,-0.619788758,0.045271654,lgVD_test
4634,-0.070581074,0.50797814,lgVD_test
4679,-0.769551079,0.2356295,lgVD_test
4831,-0.055517328,-0.15617794,lgVD_test
4906,0.568201724,0.1867407,lgVD_test
4919,-0.13076828,0.60356617,lgVD_test
5029,-0.657577319,0.22186247,lgVD_test
5035,0.875061263,0.81406057,lgVD_test
5095,0.886490725,0.4017901,lgVD_test
5215,-0.537602002,-0.25382704,lgVD_test
5253,0.113943352,-0.0846153,lgVD_test
5291,0.591064607,1.0675154,lgVD_test
5329,-0.522878745,-0.23051393,lgVD_test
5339,-0.958607315,-0.68206596,lgVD_test
5344,-0.769551079,-0.19297928,lgVD_test
5358,0.230448921,-0.0030955002,lgVD_test
5379,0.230448921,0.11317217,lgVD_test
5403,0.176091259,0.16840836,lgVD_test
5467,0.041392685,0.15228441,lgVD_test
5735,0.113943352,0.35935083,lgVD_test
6249,-0.657577319,-0.50520825,lgVD_test
8223,0.556302501,0.27449757,lgVD_test
12560,-0.022276395,-0.28550762,lgVD_test
13342,1.447158031,1.0441823,lgVD_test
27447,-0.677780705,-0.58923554,lgVD_test
31703,1.342422681,0.59162927,lgVD_test
33255,-0.920818754,-0.730819,lgVD_test
33613,-0.602059991,-0.52497786,lgVD_test
37910,0.602059991,0.44335228,lgVD_test
38103,-0.677780705,-0.53025556,lgVD_test
38853,-0.161150909,-0.42135426,lgVD_test
38945,0.255272505,-0.009801701,lgVD_test
39186,0.612783857,0.2869416,lgVD_test
41049,0.51851394,0.6003761,lgVD_test
41781,-0.677780705,-0.26909173,lgVD_test
47528,0.146128036,0.104190245,lgVD_test
47965,-0.638272164,-0.6157899,lgVD_test
51081,0.176091259,-0.04712487,lgVD_test
53084,0.146128036,0.36849767,lgVD_test
53276,0.041392685,0.17797492,lgVD_test
54477,-0.187086643,0.5226366,lgVD_test
54766,0.204119983,0.11764446,lgVD_test
58505,-0.086186148,-0.0040625557,lgVD_test
60063,0.278753601,0.036276523,lgVD_test
60172,-0.37675071,-0.4589736,lgVD_test
60404,-0.366531544,-0.29143107,lgVD_test
60464,0.591064607,0.2481238,lgVD_test
60648,0.041392685,-0.14743298,lgVD_test
60726,-0.958607315,-0.6563114,lgVD_test
60753,1.079181246,0.03117901,lgVD_test
60795,0.69019608,0.6053206,lgVD_test
60854,0.0,0.51285774,lgVD_test
60855,-0.638272164,-0.43115982,lgVD_test
60857,0.255272505,0.541147,lgVD_test
65820,-0.387216143,0.07445824,lgVD_test
65906,-0.420216403,0.6346825,lgVD_test
65981,-0.455931956,-0.06954681,lgVD_test
65999,0.72427587,-0.15340069,lgVD_test
68740,-0.22184875,-0.39396107,lgVD_test
68741,-0.26760624,-0.1851083,lgVD_test
68770,0.51851394,0.16038623,lgVD_test
71329,0.51851394,-0.30039948,lgVD_test
71616,0.342422681,0.3929566,lgVD_test
71733,0.230448921,0.6474368,lgVD_test
77999,-0.698970004,-0.2835917,lgVD_test
84029,0.176091259,-0.1732283,lgVD_test
104838,-0.619788758,-0.4606018,lgVD_test
104865,-0.537602002,0.15968573,lgVD_test
107994,-0.886056648,-0.37035188,lgVD_test
115237,0.747078717,0.8363157,lgVD_test
119607,-0.124938737,-0.17043492,lgVD_test
121892,0.397940009,0.2018491,lgVD_test
126941,-0.366531544,-0.4696743,lgVD_test
129211,-0.677780705,0.17763478,lgVD_test
149096,0.079181246,0.023595687,lgVD_test
150610,-0.920818754,-0.48385334,lgVD_test
151171,-0.119186408,0.23055282,lgVD_test
151174,-0.552841969,0.028692741,lgVD_test
152946,0.146128036,0.22914752,lgVD_test
155774,-0.193820026,-0.11548098,lgVD_test
158781,-0.614649118,-0.23529887,lgVD_test
175805,-0.124938737,0.3428319,lgVD_test
183797,-0.638272164,-0.32401276,lgVD_test
208898,1.301029996,0.49448913,lgVD_test
214356,-0.823908741,-0.6056682,lgVD_test
216210,-0.070581074,-0.50019044,lgVD_test
441243,0.556302501,-0.037342228,lgVD_test
441314,-0.552841969,-0.30317122,lgVD_test
443879,0.176091259,0.86534226,lgVD_test
446156,-0.48148606,-0.24365398,lgVD_test
446598,-0.102372909,-0.4923048,lgVD_test
449193,0.283301229,0.8470621,lgVD_test
461399,0.176091259,0.22219208,lgVD_test
2723601,0.460897843,0.20550519,lgVD_test
3000540,0.0,-0.51222086,lgVD_test
5281037,-0.769551079,-0.5374775,lgVD_test
5281040,-0.823908741,-0.14705169,lgVD_test
5284371,0.544068044,0.44130278,lgVD_test
5284596,0.230448921,0.48237038,lgVD_test
5284603,0.397940009,0.5845704,lgVD_test
5288826,0.361727836,0.33105916,lgVD_test
5361092,1.079181246,0.58476955,lgVD_test
5362065,-0.619788758,-0.5648436,lgVD_test
5362119,-0.050609993,-0.30896008,lgVD_test
5362440,-0.086186148,0.026431657,lgVD_test
5462501,-0.420216403,-0.31557,lgVD_test
5479530,-0.920818754,-0.75245774,lgVD_test
5479537,-0.552841969,-0.6918986,lgVD_test
