Comparison,Comparator,Endpoint,N_paired,A_MAE,Comparator_MAE,delta_MAE,delta_MAE_CI95_lo,delta_MAE_CI95_hi,wilcoxon_p_abs_err,A_RMSE,Comparator_RMSE,delta_RMSE,delta_MSE,delta_MSE_CI95_lo,delta_MSE_CI95_hi,A_GMFE,Comparator_GMFE,A_FE<2,Comparator_FE<2,delta_FE<2,delta_FE<2_CI95_lo,delta_FE<2_CI95_hi,mcnemar_p_FE<2,A_R2,Comparator_R2,delta_R2,delta_R2_CI95_lo,delta_R2_CI95_hi
A vs E,E,CL,177,0.2996823712108703,0.3542339038926554,-0.054551532681785,-0.0869160648075811,-0.0227416587248155,0.0136320082917896,0.4088182376020542,0.466844557096715,-0.0580263194946607,-0.0508114890947783,-0.087057227992135,-0.0161480807109636,1.993803578827939,2.2606529930678936,0.6497175141242938,0.536723163841808,0.1129943502824858,0.0508474576271186,0.1752824858757055,0.0011932429624721,0.5050807489213767,0.3546156599130513,0.1504650890083253,0.0469755580524645,0.272867732486588
A vs E,E,VDss,177,0.2793331075477148,0.3256303591016949,-0.0462972515539801,-0.0749972357505246,-0.0167146237504338,0.0043036350983694,0.3590552681251047,0.4082545525582987,-0.0491992844331939,-0.0377510941161858,-0.0635700007456254,-0.0113976353504334,1.9025369824203036,2.116558902411453,0.6440677966101694,0.5706214689265536,0.0734463276836158,-0.0056497175141243,0.1525423728813559,0.1047894824266033,0.5779926476207004,0.4544186904457518,0.1235739571749485,0.036205870903471,0.2155928379293918
A vs F,F,CL,177,0.2996823712108703,0.3061339872408475,-0.0064516160299771,-0.0380438266565845,0.0238423825481787,0.8985902313380083,0.4088182376020542,0.4223531840788632,-0.0135349464768089,-0.0112498607055044,-0.0472881438204753,0.0221909425435745,1.993803578827939,2.0236434108217827,0.6497175141242938,0.6101694915254238,0.03954802259887,-0.0338983050847456,0.1073446327683615,0.3240086000878364,0.5050807489213767,0.4717671947913729,0.0333135541300037,-0.0738008740734958,0.1301609486654029
A vs F,F,VDss,177,0.2793331075477148,0.2836704596070566,-0.0043373520593418,-0.020626929748706,0.0122609534476859,0.9988312147662304,0.3590552681251047,0.3663906524377132,-0.0073353843126084,-0.0053214246253423,-0.0203649840802806,0.0088586820377526,1.9025369824203036,1.9216330504022137,0.6440677966101694,0.5932203389830508,0.0508474576271186,-0.0056497175141243,0.1129943502824858,0.1360459476709365,0.5779926476207004,0.560573563110516,0.0174190845101843,-0.0315955081494926,0.0694170710246553
A vs C,C,CL,177,0.2996823712108703,0.3184123908386718,-0.0187300196278015,-0.0469466143488888,0.0078989513347046,0.1421625538756055,0.4088182376020542,0.4278479097665474,-0.0190296721644931,-0.015921482495554,-0.0431035871311819,0.009135123109335,1.993803578827939,2.081672432184151,0.6497175141242938,0.5932203389830508,0.0564971751412429,-0.0112994350282485,0.1242937853107344,0.143306654295884,0.5050807489213767,0.457933394582489,0.0471473543388876,-0.0284977853539991,0.1254307112193806
A vs C,C,VDss,177,0.2793331075477148,0.2817734248120443,-0.0024403172643295,-0.029107477780957,0.0268756538232572,0.6859920223163023,0.3590552681251047,0.3593135782193391,-0.0002583100942343,-0.0001855619243942,-0.0229857862152417,0.024580034903654,1.9025369824203036,1.9132575016119604,0.6440677966101694,0.5932203389830508,0.0508474576271186,-0.022598870056497,0.1242937853107344,0.2326931919083108,0.5779926476207004,0.5773852315487893,0.000607416071911,-0.0799654324517405,0.0777021323552914
A vs D,D,CL,177,0.2996823712108703,0.3145743112498829,-0.0148919400390125,-0.0427737471758221,0.0127646217618118,0.2274163552196245,0.4088182376020542,0.4248491980956246,-0.0160309604935703,-0.0133644897264455,-0.0395943446473418,0.0119231089064963,1.993803578827939,2.0633566938951313,0.6497175141242938,0.615819209039548,0.0338983050847457,-0.0338983050847457,0.1016949152542373,0.4050322461407631,0.5050807489213767,0.4655052676263965,0.0395754812949801,-0.0376014925991597,0.1201409294938286
A vs D,D,VDss,177,0.2793331075477148,0.2804536621384883,-0.0011205545907735,-0.0183893542221756,0.0168623310322445,0.8044744038113142,0.3590552681251047,0.3649665199219605,-0.0059112517968557,-0.0042798750955559,-0.0198465707249764,0.010567393867387,1.9025369824203036,1.907452193955089,0.6440677966101694,0.5932203389830508,0.0508474576271186,-0.0056497175141243,0.1129943502824859,0.1496127843856811,0.5779926476207004,0.5639829582552842,0.0140096893654161,-0.0370252303447235,0.0653181659753654
A vs G,G,CL,177,0.2996823712108703,0.3080338004405646,-0.0083514292296943,-0.0322212859835553,0.0170859000956116,0.3668704216266213,0.4088182376020542,0.4214892610093307,-0.0126710234072764,-0.010520845750142,-0.0364984088516002,0.016049298409655,1.993803578827939,2.0325151921668843,0.6497175141242938,0.5706214689265536,0.0790960451977401,0.0169491525423728,0.1412429378531073,0.0243065101094543,0.5050807489213767,0.4739259841144412,0.0311547648069354,-0.045773798952032,0.1169049255466783
A vs G,G,VDss,177,0.2793331075477148,0.3165558025573933,-0.0372226950096785,-0.061737813623296,-0.0104266078855627,0.0092398917274699,0.3590552681251047,0.3898983829005451,-0.0308431147754403,-0.0231000634200692,-0.0453695778183493,-0.0002680546918369,1.9025369824203036,2.072792375848642,0.6440677966101694,0.519774011299435,0.1242937853107344,0.0508474576271186,0.1977401129943503,0.0020881073339964,0.5779926476207004,0.5023771902507819,0.0756154573699184,0.0009138453909018,0.1555203363714561
