PUBCHEM_CID,Actual_A,Predicted_A,Actual_C,Predicted_C,Endpoint,abs_err_A,abs_err_C,fe_A,fe_C
681,0.597036665,0.374491593048212,0.597036665,0.027363156859179,CL,0.22254507195178796,0.569673508140821,1.669341045780969,3.712560230565926
1676,-0.619788758,-0.4842660849226208,-0.619788758,-0.4776998943135336,CL,0.1355226730773792,0.1420888636864664,1.3662263999867055,1.3870396106117762
1978,-0.22184875,-0.0866342562729872,-0.22184875,-0.5699574413611492,CL,0.13521449372701283,0.3481086913611492,1.365257257090896,2.2289929319995774
2099,-0.282329497,-0.3086388824276961,-0.282329497,-0.3899900776723156,CL,0.02630938542769612,0.1076605806723156,1.0624521640067848,1.281328779122988
2141,0.264581729,-0.9476122491230776,0.264581729,-0.8360884181647468,CL,1.2121939781230777,1.1006701471647466,16.300239221054714,12.608695224912356
2165,1.114610984,-0.2176349141138081,1.114610984,-0.3491230294239102,CL,1.3322458981138081,1.4637340134239103,21.490469229492582,29.089349755912338
2179,-0.588380294,-1.379104444102793,-0.588380294,-1.11441550669264,CL,0.7907241501027931,0.52603521269264,6.17623980622671,3.3576483702656796
2381,-0.142667504,-0.3823860967166947,-0.142667504,-0.5855693740515722,CL,0.2397185927166947,0.44290187005157217,1.7366751607341893,2.77269353667439
2441,-1.514278574,-1.6060960939616282,-1.514278574,-1.7248199733084586,CL,0.09181751996162824,0.2105413993084586,1.2354282273095463,1.6238331356975881
2471,-0.823908741,-0.6760615536113661,-0.823908741,-0.9554888300916792,CL,0.1478471873886339,0.13158008909167918,1.4055528735962728,1.3538797392525586
2541,-1.653647026,-1.1261864894594118,-1.653647026,-0.8340920881458336,CL,0.5274605365405882,0.8195549378541664,3.368686037833742,6.600167204935839
2708,-0.774690718,-0.680696688100844,-0.774690718,-0.2936703597060849,CL,0.09399402989915595,0.4810203582939151,1.2416352391311523,3.0270553231521338
2756,-0.313363731,-0.200000116029447,-0.313363731,-0.2073842469740486,CL,0.11336361497055297,0.10597948402595136,1.2982657948351386,1.2763785115521475
2764,-0.302770657,-0.5902688561771254,-0.302770657,-0.5221965888981749,CL,0.28749819917712544,0.2194259318981749,1.9386445972528454,1.657394647223626
2802,-1.277366077,-1.0584242007783906,-1.277366077,-1.616776291991214,CL,0.21894187622160932,0.33941021499121415,1.6555483784146663,2.1847925941333224
2907,-1.180456064,-0.6948923940783154,-1.180456064,-0.9986130521369088,CL,0.48556366992168454,0.18184301186309115,3.0588886632739873,1.5199979837561575
2942,-0.806875402,-1.039222689404725,-0.806875402,-0.6895475841445885,CL,0.232347287404725,0.11732781785541146,1.7074472184271006,1.3101705038934328
3019,-2.443697499,-1.5049795995675923,-2.443697499,-1.388561773469844,CL,0.9387178994324079,1.055135725530156,8.68396170141875,11.353655842117053
3151,-0.244125144,-0.3620800691790663,-0.244125144,-0.5470072774783991,CL,0.11795492517906633,0.3028821334783991,1.3120637146819698,2.0085476234340263
3157,-1.017728767,-0.9175377478923648,-1.017728767,-0.9360618692318542,CL,0.10019101910763517,0.08166689776814573,1.2594792565063304,1.2068878016219662
3168,-0.271483895,-0.2003549238343733,-0.271483895,-0.4464025769577602,CL,0.07112897116562666,0.17491868195776022,1.177955735663507,1.4959555245958203
3229,-0.48945499,-0.6427568585833785,-0.48945499,-0.4973121150611944,CL,0.15330186858337852,0.007857125061194403,1.4233177603809437,1.0182563452378344
3306,-0.075720714,-0.2225782279373905,-0.075720714,-0.7855931787733806,CL,0.1468575139373905,0.7098724647733806,1.4023535361184762,5.127107988639165
3325,-0.402304814,-0.5835813173360654,-0.402304814,-0.642143748784913,CL,0.18127650333606543,0.23983893478491297,1.5180165391832359,1.7371564563713542
3343,0.240549248,0.4146814370445635,0.240549248,0.0906379996463653,CL,0.1741321890445635,0.14991124835363467,1.493248850308674,1.4122489104608051
3356,-0.53165267,-0.4734962459600501,-0.53165267,-0.7086559427952444,CL,0.05815642403994997,0.1770032727952443,1.1432900504641157,1.5031532936445262
3357,-0.841637508,-0.5733589743002891,-0.841637508,-0.915886743943802,CL,0.2682785336997109,0.07424923594380195,1.8547207626557978,1.1864494407013926
3365,-1.730487056,-1.2539337555387151,-1.730487056,-1.079509465103982,CL,0.47655330046128497,0.650977590896018,2.996079275221672,4.476902032723263
3446,-0.991399828,-0.7917948177328391,-0.991399828,-1.0093621299812972,CL,0.19960501026716093,0.017962301981297113,1.5834523914129792,1.0422269571486682
3478,-1.473660723,-1.213057556205833,-1.473660723,-0.9550393210317148,CL,0.26060316679416706,0.5186214019682852,1.8222298929800396,3.300816655037101
