PUBCHEM_CID,SMILES,lgCL,lgVD,lgFu,CL_train_test,VD_train_test,Fu_train_test
15,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,,,-1.504455662,,,train
72,OC1C=C(C=CC=1O)C(O)=O,,,-0.101549075,,,train
135,OC1C=CC(=CC=1)C(O)=O,,,-0.188090026,,,train
137,NCC(=O)CCC(=O)O,-0.9476909,-0.920818754,,train,train,
158,CCCCCC(O)C=CC1C(CC=CCCCC(O)=O)C(=O)CC1O,,,-0.568636236,,,test
191,NC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,,,-0.161150909,,,train
214,CCCCCC(O)C=CC1C(CCCCCCC(O)=O)C(=O)CC1O,,,-1.096910018,,,train
237,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,-0.514278574,1.653212514,-0.987162775,train,train,train
241,C1C=CC=CC=1,,,-0.337242168,,,train
253,OC(=O)CCCCC1SCC2NC(=O)NC21,,,-0.09691001,,,train
288,C[N+](C)(C)CC(O)CC([O-])=O,,,-0.001087096,,,train
322,OC1C=CC(=CC=1)C=CC(O)=O,,,-0.458420762,,,train
323,O=c1ccc2ccccc2o1,0.151063253,0.041392685,-0.716156253,train,train,train
335,CC1C=CC=CC=1O,,,-0.420168459,,,train
338,OC(=O)c1ccccc1O,,,-0.931814138,,,train
342,CC1=CC(O)=CC=C1,,,-0.440093375,,,train
356,CCCCCCCC,,,-0.986867724,,,train
370,OC1C=C(C=C(O)C=1O)C(O)=O,,,-0.166215622,,,train
401,NC1CONC1=O,,,-0.09691001,,,train
444,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0.475048246,1.444936571,-0.434752706,train,train,train
460,COC1C=CC=CC=1O,,,-0.244887734,,,train
471,OC1C(OC2C=C(O)C=C(O)C=2C1=O)C1=CC(O)=C(O)C=C1,,,-2.602059991,,,test
535,NC1(C(=O)O)CC1,-1.045757491,-0.13667714,,train,train,
564,NCCCCCC(=O)O,-0.823908741,-0.408935393,-0.03621217,train,train,train
568,C1=CC=CC2OC3=CC=CC=C3C=21,,,-3.0,,,train
581,CC(=O)NC(CS)C(O)=O,,,-0.769551079,,,train
596,NC1C=CN(C2OC(CO)C(O)C2O)C(=O)N=1,,,-0.041615157,,,train
598,O=S(=O)(O)CCS,0.089905111,-0.187086643,,train,train,
681,NCCc1ccc(O)c(O)c1,0.597036665,-0.13076828,-0.045757495,test,test,test
698,CC12CCC3C(CCC4C=C(O)C=CC=43)C1CCC2=O,,,-1.393618635,,,train
709,COC1C=C(C=CC(O)=O)C=CC=1O,,,-0.570651515,,,train
727,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,,,-1.568100731,,,train
738,NC(=O)CCC(N)C(=O)O,,-0.731154687,,,train,
774,NCCc1c[nH]cn1,0.477121255,-0.074246028,,train,train,
815,NCC1OC(OC2C(O)C(OC3OC(CO)C(O)C(N)C3O)C(N)CC2N)C(O)C(O)C1O,,,-0.004364805,,,train
836,NC(CC1C=C(O)C(O)=CC=1)C(O)=O,,,-0.086627728,,,train
838,CNCC(O)C1C=C(O)C(O)=CC=1,,,-0.301029996,,,train
861,NC(CC1=CC(I)=C(OC2C=CC(O)=C(I)C=2)C(I)=C1)C(O)=O,,,-1.698970004,,,train
896,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,-0.004364805,0.041392685,-0.302770657,train,train,test
904,CC(=O)NC1C=CC=CC=1,,,-0.031517049,,,train
931,C1=CC=CC2=CC=CC=C21,,,-1.8069332,,,train
938,O=C(O)c1cccnc1,,,-0.210709505,,,train
951,NCC(O)C1C=C(O)C(O)=CC=1,,,-0.301029996,,,train
957,CCCCCCCCO,,,-0.189095719,,,train
971,OC(=O)C(O)=O,,,-0.001087096,,,train
978,NC1=CC=C(C=C1)C(O)=O,,,-0.11577123,,,train
980,[O-][N+](=O)C1C=CC(O)=CC=1,,,-0.810165983,,,train
991,CCOP(=S)(OC1C=CC(=CC=1)[N+]([O-])=O)OCC,,,-2.903089987,,,test
992,OC1C(Cl)=C(Cl)C(Cl)=C(Cl)C=1Cl,,,-1.527148513,,,train
996,OC1C=CC=CC=1,,,-0.145664764,,,test
1027,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,,,-0.698970004,,,train
1046,NC(=O)c1cnccn1,-1.263034674,-0.103946441,-0.045757491,train,train,train
1054,Cc1ncc(CO)c(CO)c1O,,,-0.001087096,,,train
1065,COC1C=CC2N=CC=C(C(O)C3CC4CCN3CC4C=C)C=2C=1,,,-0.789146639,,,train
1072,CC1=CC2=C(C=C1C)N=C1C(=NC(=O)NC1=O)N2CC(O)C(O)C(O)CO,,,-0.397940003,,,train
1130,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,,,-1.096910013,,,train
1134,CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O,,,-0.014573526,,,train
1140,CC1C=CC=CC=1,,,-0.522878745,,,train
1148,NC(CC1=CNC2=CC=CC=C21)C(O)=O,,,-0.698970004,,,train
1183,COC1C=C(C=O)C=CC=1O,,,-0.492144128,,,train
1206,CNC(C)CC1C=CC=CC=1,,,-0.070581072,,,train
1207,CC12NC(CC3=CC=CC=C13)C1=CC=CC=C21,,,-0.276708554,,,train
1211,CN1CCC2C=C(OC)C3=CC=2C1CC1C=CC(=CC=1)OC1C2C(CC4C=C(O3)C(O)=CC=4)[N+](C)(C)CCC=2C=C(OC)C=1O,,,-0.241592809,,,train
1234,CN(CCCC(C#N)(C(C)C)C1C=C(OC)C(OC)=C(C=1)OC)CCC1C=CC(OC)=C(C=1)OC,,,-1.0,,,train
1287,OC1C=C2OC(C(CC2=C(O)C=1)OC(=O)C1C=C(O)C(O)=C(O)C=1)C1C=C(O)C(O)=C(O)C=1,,,-1.055517318,,,train
1345,CCC(C)N(C)C(=O)C1=CC2C=CC=CC=2C(=N1)C1=CC=CC=C1Cl,,,-1.792177551,,,test
1355,Clc1cccc(N2CCNCC2)c1,-0.436518915,0.397940009,,train,train,
1480,OC(=O)COC1C=C(Cl)C(Cl)=CC=1Cl,,,-1.896196279,,,train
