compound_id,rel_log2_A,abs_log2_A,fe_cmax_rel_A,fe_cmax_abs_A,fe_auc_rel_A,fe_auc_abs_A,delta_tmax_A,time_within_2fold_A,cmax_within_2fold_A,auc_within_2fold_A,time_within_3fold_A,cmax_within_3fold_A,auc_within_3fold_A,time_within_5fold_A,cmax_within_5fold_A,auc_within_5fold_A,time_within_10fold_A,cmax_within_10fold_A,auc_within_10fold_A,scenario_A,rel_log2_B,abs_log2_B,fe_cmax_rel_B,fe_cmax_abs_B,fe_auc_rel_B,fe_auc_abs_B,delta_tmax_B,time_within_2fold_B,cmax_within_2fold_B,auc_within_2fold_B,time_within_3fold_B,cmax_within_3fold_B,auc_within_3fold_B,time_within_5fold_B,cmax_within_5fold_B,auc_within_5fold_B,time_within_10fold_B,cmax_within_10fold_B,auc_within_10fold_B,scenario_B,good_auc_A,good_auc_B,good_cmax_A,good_cmax_B,good_A,good_B,delta_abs_log2_B_minus_A,delta_auc_abs_B_minus_A,delta_cmax_abs_B_minus_A,class
52,0.0579,0.1012,-0.1914,0.1914,0.0919,0.0919,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.2203,0.2315,-0.0785,0.0785,0.2934,0.2934,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.1303,0.2015,-0.1128,Both acceptable
172,0.6914,0.6914,0.1992,0.1992,0.5824,0.5824,0.0000,0.8333,1.0000,1.0000,0.9167,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.3207,0.3219,-0.0069,0.0069,0.2080,0.2080,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,-0.3695,-0.3744,-0.1923,Both acceptable
177,-0.5038,0.7808,-1.0697,1.0697,-0.3795,0.3795,0.0000,0.6471,0.0000,1.0000,0.9412,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,-0.2687,0.9656,-3.1052,3.1052,0.0925,0.0925,0.0000,0.6471,0.0000,1.0000,0.8235,0.0000,1.0000,0.9412,0.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,False,False,False,False,0.1848,-0.2870,2.0354,Refinement
184,0.1782,0.8286,0.2140,0.2140,0.5216,0.5216,0.2826,0.9333,1.0000,1.0000,0.9333,1.0000,1.0000,0.9333,1.0000,1.0000,0.9333,1.0000,1.0000,v0_baseline_simcyp,0.4552,0.4552,0.3873,0.3873,0.3945,0.3945,-0.1893,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,-0.3733,-0.1272,0.1732,Both acceptable
295,0.0007,0.3407,-0.6076,0.6076,-0.0298,0.0298,0.0000,0.8182,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.3535,0.5344,-0.1900,0.1900,0.2658,0.2658,0.0000,0.9091,1.0000,1.0000,0.9091,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.1937,0.2361,-0.4177,Both acceptable
308,0.8671,1.1101,-1.4008,1.4008,1.2113,1.2113,0.0000,0.3077,0.0000,0.0000,0.9231,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,1.4672,1.6386,-1.1141,1.1141,2.0056,2.0056,0.0000,0.1538,0.0000,0.0000,0.4615,1.0000,0.0000,0.8462,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,False,False,False,False,False,False,0.5284,0.7943,-0.2867,Refinement
323,-0.2326,0.3358,-1.0285,1.0285,-0.1959,0.1959,-1.2857,0.9167,0.0000,1.0000,0.9167,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.6425,1.3024,-1.3441,1.3441,1.6406,1.6406,142.2000,0.6429,0.0000,0.0000,0.7143,1.0000,0.0000,0.8571,1.0000,1.0000,0.9286,1.0000,1.0000,v1_control_minimal,True,False,False,False,False,False,0.9666,1.4448,0.3157,Refinement
332,0.0214,0.2167,-0.0073,0.0073,0.1345,0.1345,0.0000,0.9412,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,-0.5230,0.8233,-0.9003,0.9003,0.1962,0.1962,0.0000,0.7778,1.0000,1.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.6066,0.0617,0.8930,Both acceptable
366,-0.3840,0.6691,-1.0681,1.0681,0.1938,0.1938,0.7576,0.7500,0.0000,1.0000,0.9167,1.0000,1.0000,0.9167,1.0000,1.0000,0.9167,1.0000,1.0000,v0_baseline_simcyp,0.0423,0.6745,-0.3966,0.3966,0.3611,0.3611,0.7576,0.9167,1.0000,1.0000,0.9167,1.0000,1.0000,0.9167,1.0000,1.0000,0.9167,1.0000,1.0000,v1_control_minimal,True,True,False,True,False,True,0.0055,0.1673,-0.6715,Prefer v1_control_minimal
394,-1.5247,1.5247,-1.2262,1.2262,-1.5189,1.5189,0.0000,0.0000,0.0000,0.0000,0.4375,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,-0.8157,0.8380,-2.0408,2.0408,-0.6824,0.6824,0.0000,0.6250,0.0000,1.0000,0.8125,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,False,True,False,False,False,False,-0.6867,-0.8365,0.8146,Refinement
