compound_id,rel_log2_A,abs_log2_A,fe_cmax_rel_A,fe_cmax_abs_A,fe_auc_rel_A,fe_auc_abs_A,delta_tmax_A,time_within_2fold_A,cmax_within_2fold_A,auc_within_2fold_A,time_within_3fold_A,cmax_within_3fold_A,auc_within_3fold_A,time_within_5fold_A,cmax_within_5fold_A,auc_within_5fold_A,time_within_10fold_A,cmax_within_10fold_A,auc_within_10fold_A,scenario_A,rel_log2_B,abs_log2_B,fe_cmax_rel_B,fe_cmax_abs_B,fe_auc_rel_B,fe_auc_abs_B,delta_tmax_B,time_within_2fold_B,cmax_within_2fold_B,auc_within_2fold_B,time_within_3fold_B,cmax_within_3fold_B,auc_within_3fold_B,time_within_5fold_B,cmax_within_5fold_B,auc_within_5fold_B,time_within_10fold_B,cmax_within_10fold_B,auc_within_10fold_B,scenario_B,good_auc_A,good_auc_B,good_cmax_A,good_cmax_B,good_A,good_B,delta_abs_log2_B_minus_A,delta_auc_abs_B_minus_A,delta_cmax_abs_B_minus_A,class
52,0.5009,0.5108,-0.0696,0.0696,0.8125,0.8125,0.0000,0.8571,1.0000,1.0000,0.9286,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,-0.7338,0.7338,-0.4835,0.4835,-0.9476,0.9476,0.0000,0.7857,1.0000,1.0000,0.8571,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,0.2229,0.1351,0.4138,Both acceptable
172,0.3862,0.4048,-0.1114,0.1114,0.2747,0.2747,0.0000,0.8333,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,0.6447,0.8231,-0.3521,0.3521,0.7216,0.7216,0.0000,0.6667,1.0000,1.0000,0.7500,1.0000,1.0000,0.8333,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,0.4183,0.4469,0.2407,Both acceptable
177,-0.2672,0.9521,-3.1070,3.1070,0.1000,0.1000,0.0000,0.6471,0.0000,1.0000,0.8235,0.0000,1.0000,0.9412,0.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,0.3694,1.2392,-2.7163,2.7163,0.8437,0.8437,0.0000,0.4118,0.0000,1.0000,0.5882,0.0000,1.0000,0.8824,0.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,False,False,False,False,0.2871,0.7437,-0.3907,Refinement
184,0.3543,0.3590,0.2331,0.2331,0.2991,0.2991,-0.1893,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,-0.5853,0.5853,-0.6779,0.6779,-0.6446,0.6446,-0.1893,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,0.2263,0.3455,0.4448,Both acceptable
295,-0.7869,0.8221,-0.3217,0.3217,-0.5343,0.5343,0.0000,0.6364,1.0000,1.0000,0.9091,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,0.1552,0.7884,-1.0022,1.0022,-0.0034,0.0034,0.0000,0.6364,0.0000,1.0000,0.8182,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,False,True,False,-0.0337,-0.5309,0.6805,Prefer v2_CLint
308,0.6173,0.8532,-1.3745,1.3745,0.8477,0.8477,0.0000,0.4615,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,-0.5175,0.7434,-3.0772,3.0772,0.0040,0.0040,0.0000,0.7692,0.0000,1.0000,0.8462,0.0000,1.0000,0.9231,0.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,False,False,False,False,-0.1097,-0.8437,1.7026,Refinement
323,0.6451,1.3031,-1.0353,1.0353,1.7927,1.7927,142.2000,0.7143,0.0000,0.0000,0.7143,1.0000,0.0000,0.8571,1.0000,1.0000,0.9286,1.0000,1.0000,v2_CLint,2.2827,2.4150,0.0207,0.0207,3.1850,3.1850,142.2000,0.1429,1.0000,0.0000,0.2857,1.0000,0.0000,0.5000,1.0000,0.0000,0.8571,1.0000,1.0000,v3_CLsys,False,False,False,True,False,False,1.1118,1.3923,-1.0147,Refinement
332,-0.4646,0.8679,-0.8829,0.8829,0.3327,0.3327,0.2188,0.7778,1.0000,1.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,-0.2351,0.6037,-0.3801,0.3801,0.2531,0.2531,0.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,0.9444,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,-0.2642,-0.0796,-0.5028,Both acceptable
366,0.3078,0.9288,-0.3361,0.3361,0.8350,0.8350,0.7576,0.7500,1.0000,1.0000,0.8333,1.0000,1.0000,0.9167,1.0000,1.0000,0.9167,1.0000,1.0000,v2_CLint,0.6367,1.0364,0.4979,0.4979,0.7262,0.7262,0.7576,0.3333,1.0000,1.0000,0.9167,1.0000,1.0000,0.9167,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,0.1076,-0.1088,0.1618,Both acceptable
394,-0.8967,0.8967,-2.0487,2.0487,-0.7795,0.7795,0.0000,0.6250,0.0000,1.0000,0.8125,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,0.7108,0.7108,0.2230,0.2230,0.7275,0.7275,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,False,True,False,True,-0.1859,-0.0520,-1.8257,Prefer v3_CLsys
