compound_id,rel_log2,abs_log2,fe_cmax_rel,fe_cmax_abs,fe_auc_rel,fe_auc_abs,delta_tmax,time_within_2fold,cmax_within_2fold,auc_within_2fold,time_within_3fold,cmax_within_3fold,auc_within_3fold,time_within_5fold,cmax_within_5fold,auc_within_5fold,time_within_10fold,cmax_within_10fold,auc_within_10fold,scenario
52,-0.8641,0.8641,-0.8131,0.8131,-0.9997,0.9997,0.0000,0.7857,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
172,0.6323,0.8263,-0.3673,0.3673,0.7108,0.7108,0.0000,0.6667,1.0000,1.0000,0.7500,1.0000,1.0000,0.8333,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
177,0.1725,1.2691,-3.0102,3.0102,0.7006,0.7006,0.0000,0.4118,0.0000,1.0000,0.5294,0.0000,1.0000,0.9412,0.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
184,-0.4572,0.4572,-0.3679,0.3679,-0.5692,0.5692,-0.1893,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
295,-0.0567,1.0318,-1.4882,1.4882,-0.2109,0.2109,0.2785,0.6364,0.0000,1.0000,0.8182,1.0000,1.0000,0.9091,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
308,-0.6094,0.8309,-3.2317,3.2317,-0.0402,0.0402,0.0000,0.7692,0.0000,1.0000,0.8462,0.0000,1.0000,0.9231,0.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
323,2.6707,2.6767,0.9103,0.9103,3.7624,3.7624,142.2000,0.1429,1.0000,0.0000,0.1429,1.0000,0.0000,0.3571,1.0000,0.0000,0.8571,1.0000,0.0000,v4_ML
332,-0.2004,0.5980,-0.3281,0.3281,0.2745,0.2745,0.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,0.9444,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
366,0.4020,0.8793,0.0859,0.0859,0.6159,0.6159,0.7576,0.9167,1.0000,1.0000,0.9167,1.0000,1.0000,0.9167,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
394,0.7767,0.7767,0.4179,0.4179,0.7918,0.7918,0.0000,0.9375,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
413,1.9188,2.5218,-3.5713,3.5713,0.5912,0.5912,0.5804,0.0833,0.0000,1.0000,0.1833,0.0000,1.0000,0.3333,0.0000,1.0000,0.8000,0.0000,1.0000,v4_ML
471,-0.7213,0.7777,-2.0256,2.0256,-0.7752,0.7752,1.9366,0.7500,0.0000,1.0000,0.8750,0.0000,1.0000,0.8750,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
488,0.2429,0.7539,-0.6831,0.6831,0.6926,0.6926,0.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,0.9444,1.0000,1.0000,v4_ML
637,0.9304,0.9304,0.0741,0.0741,0.8236,0.8236,0.0000,0.6667,1.0000,1.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
674,0.9073,1.2201,-0.7828,0.7828,1.2116,1.2116,0.0000,0.4286,1.0000,0.0000,0.7857,1.0000,1.0000,0.9286,1.0000,1.0000,0.9286,1.0000,1.0000,v4_ML
703,0.4515,1.2870,-1.6481,1.6481,0.6180,0.6180,-0.0554,0.5294,0.0000,1.0000,0.7059,0.0000,1.0000,0.8235,1.0000,1.0000,0.9412,1.0000,1.0000,v4_ML
739,-0.2590,0.3593,-0.9316,0.9316,-0.4668,0.4668,-0.1002,0.9000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
781,0.3404,0.8637,-1.2333,1.2333,0.0074,0.0074,0.0000,0.6250,0.0000,1.0000,0.9375,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
787,-2.2803,2.2803,-2.1763,2.1763,-1.8799,1.8799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6364,1.0000,1.0000,0.9091,1.0000,1.0000,v4_ML
800,0.9157,0.9157,0.3540,0.3540,1.0620,1.0620,0.0000,0.5556,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
811,-0.2185,1.3171,-2.1546,2.1546,0.0226,0.0226,0.0000,0.3846,0.0000,1.0000,0.5385,0.0000,1.0000,0.9231,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
832,-0.7258,2.2573,-2.8252,2.8252,-1.4554,1.4554,-0.0947,0.2000,0.0000,0.0000,0.6000,0.0000,1.0000,0.7333,0.0000,1.0000,0.9333,1.0000,1.0000,v4_ML
875,-0.4869,0.4869,-1.0402,1.0402,-0.4794,0.4794,0.0000,0.9333,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
907,-0.2242,0.4937,-0.5804,0.5804,-0.4178,0.4178,0.0000,0.9600,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
938,2.2161,2.2161,0.9093,0.9093,2.2185,2.2185,0.3077,0.1053,1.0000,0.0000,0.1579,1.0000,0.0000,0.3684,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
963,1.2393,1.2614,-0.0885,0.0885,1.2463,1.2463,0.0000,0.2500,1.0000,0.0000,0.7500,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
967,-0.9204,0.9204,-0.9626,0.9626,-1.0474,1.0474,0.0000,0.7273,1.0000,0.0000,0.9091,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
973,-0.8005,0.8005,-1.1046,1.1046,-0.9551,0.9551,0.0000,0.7333,0.0000,1.0000,0.8667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
1001,-0.2254,0.4409,-0.6812,0.6812,0.0304,0.0304,0.6094,0.8333,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
1009,1.1252,1.2927,-0.6697,0.6697,1.0097,1.0097,0.0000,0.3750,1.0000,0.0000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
1018,-1.6844,1.6844,-0.7844,0.7844,-1.4772,1.4772,0.0000,0.2857,1.0000,0.0000,0.4286,1.0000,1.0000,0.8571,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
1041,0.3783,0.5500,0.1210,0.1210,0.5183,0.5183,0.1258,0.8333,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
1094,-1.9168,1.9168,-2.4524,2.4524,-1.9561,1.9561,-0.5825,0.0000,0.0000,0.0000,0.2222,0.0000,0.0000,0.7778,0.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
1095,-0.4874,2.7720,1.7178,1.7178,1.7174,1.7174,1.0782,0.1842,0.0000,0.0000,0.3421,0.0000,0.0000,0.6316,1.0000,1.0000,0.8421,1.0000,1.0000,v4_ML
1197,0.4816,0.9888,-1.4107,1.4107,0.3576,0.3576,0.0000,0.4545,0.0000,1.0000,0.8182,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
1245,-0.5687,1.4149,-2.3783,2.3783,-0.6112,0.6112,0.4982,0.2857,0.0000,1.0000,0.6429,0.0000,1.0000,0.8571,0.0000,1.0000,1.0000,1.0000,1.0000,v4_ML
