compound_id,scenario,metric,value
52,v4_ML,rel_log2,-0.8641
172,v4_ML,rel_log2,0.6323
177,v4_ML,rel_log2,0.1725
184,v4_ML,rel_log2,-0.4572
295,v4_ML,rel_log2,-0.0567
308,v4_ML,rel_log2,-0.6094
323,v4_ML,rel_log2,2.6707
332,v4_ML,rel_log2,-0.2004
366,v4_ML,rel_log2,0.4020
394,v4_ML,rel_log2,0.7767
413,v4_ML,rel_log2,1.9188
471,v4_ML,rel_log2,-0.7213
488,v4_ML,rel_log2,0.2429
637,v4_ML,rel_log2,0.9304
674,v4_ML,rel_log2,0.9073
703,v4_ML,rel_log2,0.4515
739,v4_ML,rel_log2,-0.2590
781,v4_ML,rel_log2,0.3404
787,v4_ML,rel_log2,-2.2803
800,v4_ML,rel_log2,0.9157
811,v4_ML,rel_log2,-0.2185
832,v4_ML,rel_log2,-0.7258
875,v4_ML,rel_log2,-0.4869
907,v4_ML,rel_log2,-0.2242
938,v4_ML,rel_log2,2.2161
963,v4_ML,rel_log2,1.2393
967,v4_ML,rel_log2,-0.9204
973,v4_ML,rel_log2,-0.8005
1001,v4_ML,rel_log2,-0.2254
1009,v4_ML,rel_log2,1.1252
1018,v4_ML,rel_log2,-1.6844
1041,v4_ML,rel_log2,0.3783
1094,v4_ML,rel_log2,-1.9168
1095,v4_ML,rel_log2,-0.4874
1197,v4_ML,rel_log2,0.4816
1245,v4_ML,rel_log2,-0.5687
1293,v4_ML,rel_log2,-3.0490
1300,v4_ML,rel_log2,1.6409
1319,v4_ML,rel_log2,1.9803
1323,v4_ML,rel_log2,-2.0084
1341,v4_ML,rel_log2,2.0510
52,v1_control_minimal,rel_log2,0.2203
172,v1_control_minimal,rel_log2,0.3207
177,v1_control_minimal,rel_log2,-0.2687
184,v1_control_minimal,rel_log2,0.4552
295,v1_control_minimal,rel_log2,0.3535
308,v1_control_minimal,rel_log2,1.4672
323,v1_control_minimal,rel_log2,0.6425
332,v1_control_minimal,rel_log2,-0.5230
366,v1_control_minimal,rel_log2,0.0423
394,v1_control_minimal,rel_log2,-0.8157
413,v1_control_minimal,rel_log2,1.6401
471,v1_control_minimal,rel_log2,-0.5914
488,v1_control_minimal,rel_log2,0.7607
637,v1_control_minimal,rel_log2,0.4758
674,v1_control_minimal,rel_log2,0.3458
703,v1_control_minimal,rel_log2,1.1071
739,v1_control_minimal,rel_log2,-0.0621
781,v1_control_minimal,rel_log2,-0.1704
787,v1_control_minimal,rel_log2,-1.7836
800,v1_control_minimal,rel_log2,0.5710
811,v1_control_minimal,rel_log2,0.4639
832,v1_control_minimal,rel_log2,0.4421
875,v1_control_minimal,rel_log2,0.4141
907,v1_control_minimal,rel_log2,-0.1140
938,v1_control_minimal,rel_log2,0.0125
963,v1_control_minimal,rel_log2,0.2044
967,v1_control_minimal,rel_log2,0.2546
973,v1_control_minimal,rel_log2,0.5266
1001,v1_control_minimal,rel_log2,1.1526
1009,v1_control_minimal,rel_log2,0.4319
1018,v1_control_minimal,rel_log2,0.0192
1041,v1_control_minimal,rel_log2,-0.1022
1094,v1_control_minimal,rel_log2,0.4105
1095,v1_control_minimal,rel_log2,0.5726
1197,v1_control_minimal,rel_log2,0.3514
1245,v1_control_minimal,rel_log2,0.6121
1293,v1_control_minimal,rel_log2,-1.8106
1300,v1_control_minimal,rel_log2,0.9787
1319,v1_control_minimal,rel_log2,-0.0313
1323,v1_control_minimal,rel_log2,0.4868
1341,v1_control_minimal,rel_log2,0.2406
52,v3_CLsys,rel_log2,-0.7338
172,v3_CLsys,rel_log2,0.6447
177,v3_CLsys,rel_log2,0.3694
184,v3_CLsys,rel_log2,-0.5853
295,v3_CLsys,rel_log2,0.1552
308,v3_CLsys,rel_log2,-0.5175
323,v3_CLsys,rel_log2,2.2827
332,v3_CLsys,rel_log2,-0.2351
366,v3_CLsys,rel_log2,0.6367
394,v3_CLsys,rel_log2,0.7108
413,v3_CLsys,rel_log2,2.3830
471,v3_CLsys,rel_log2,-0.6230
488,v3_CLsys,rel_log2,0.2361
637,v3_CLsys,rel_log2,0.9103
674,v3_CLsys,rel_log2,1.1867
703,v3_CLsys,rel_log2,0.8842
739,v3_CLsys,rel_log2,-0.1650
781,v3_CLsys,rel_log2,0.2555
787,v3_CLsys,rel_log2,-3.6903
800,v3_CLsys,rel_log2,0.8132
811,v3_CLsys,rel_log2,0.6615
832,v3_CLsys,rel_log2,-0.6978
875,v3_CLsys,rel_log2,-0.5174
907,v3_CLsys,rel_log2,-0.3485
938,v3_CLsys,rel_log2,2.0167
963,v3_CLsys,rel_log2,1.5697
967,v3_CLsys,rel_log2,-0.2265
973,v3_CLsys,rel_log2,-0.6421
1001,v3_CLsys,rel_log2,1.1509
1009,v3_CLsys,rel_log2,1.0070
1018,v3_CLsys,rel_log2,-1.6696
1041,v3_CLsys,rel_log2,0.2962
1094,v3_CLsys,rel_log2,-1.6164
1095,v3_CLsys,rel_log2,0.7867
1197,v3_CLsys,rel_log2,0.2989
1245,v3_CLsys,rel_log2,-0.0362
1293,v3_CLsys,rel_log2,-2.7991
1300,v3_CLsys,rel_log2,1.2025
1319,v3_CLsys,rel_log2,1.8392
1323,v3_CLsys,rel_log2,-1.7171
1341,v3_CLsys,rel_log2,2.2630
52,v2_CLint,rel_log2,0.5009
172,v2_CLint,rel_log2,0.3862
177,v2_CLint,rel_log2,-0.2672
184,v2_CLint,rel_log2,0.3543
295,v2_CLint,rel_log2,-0.7869
308,v2_CLint,rel_log2,0.6173
323,v2_CLint,rel_log2,0.6451
332,v2_CLint,rel_log2,-0.4646
366,v2_CLint,rel_log2,0.3078
394,v2_CLint,rel_log2,-0.8967
413,v2_CLint,rel_log2,1.0860
471,v2_CLint,rel_log2,-1.8644
488,v2_CLint,rel_log2,0.8275
637,v2_CLint,rel_log2,0.2968
674,v2_CLint,rel_log2,-0.4236
703,v2_CLint,rel_log2,0.5246
739,v2_CLint,rel_log2,-0.0017
781,v2_CLint,rel_log2,-2.2762
787,v2_CLint,rel_log2,-1.8359
800,v2_CLint,rel_log2,0.8217
811,v2_CLint,rel_log2,-0.2731
832,v2_CLint,rel_log2,0.2694
875,v2_CLint,rel_log2,-0.2192
907,v2_CLint,rel_log2,-1.5370
938,v2_CLint,rel_log2,0.1850
963,v2_CLint,rel_log2,0.9467
967,v2_CLint,rel_log2,0.1016
973,v2_CLint,rel_log2,0.2797
1001,v2_CLint,rel_log2,0.3703
1009,v2_CLint,rel_log2,1.3121
1018,v2_CLint,rel_log2,-0.1898
1041,v2_CLint,rel_log2,-0.1558
1094,v2_CLint,rel_log2,-3.1149
1095,v2_CLint,rel_log2,2.2091
1197,v2_CLint,rel_log2,2.0422
1245,v2_CLint,rel_log2,0.4857
1293,v2_CLint,rel_log2,-1.4452
1300,v2_CLint,rel_log2,1.1184
1319,v2_CLint,rel_log2,0.3642
1323,v2_CLint,rel_log2,-0.2417
1341,v2_CLint,rel_log2,0.7530
52,v0_baseline_simcyp,rel_log2,0.0579
172,v0_baseline_simcyp,rel_log2,0.6914
177,v0_baseline_simcyp,rel_log2,-0.5038
184,v0_baseline_simcyp,rel_log2,0.1782
295,v0_baseline_simcyp,rel_log2,0.0007
308,v0_baseline_simcyp,rel_log2,0.8671
323,v0_baseline_simcyp,rel_log2,-0.2326
332,v0_baseline_simcyp,rel_log2,0.0214
366,v0_baseline_simcyp,rel_log2,-0.3840
394,v0_baseline_simcyp,rel_log2,-1.5247
413,v0_baseline_simcyp,rel_log2,0.8344
471,v0_baseline_simcyp,rel_log2,-1.3178
488,v0_baseline_simcyp,rel_log2,0.4968
637,v0_baseline_simcyp,rel_log2,-0.1494
674,v0_baseline_simcyp,rel_log2,-0.8918
703,v0_baseline_simcyp,rel_log2,1.5936
739,v0_baseline_simcyp,rel_log2,0.3058
781,v0_baseline_simcyp,rel_log2,0.1120
787,v0_baseline_simcyp,rel_log2,-3.2923
800,v0_baseline_simcyp,rel_log2,0.5205
811,v0_baseline_simcyp,rel_log2,0.1414
832,v0_baseline_simcyp,rel_log2,0.3575
875,v0_baseline_simcyp,rel_log2,0.2997
907,v0_baseline_simcyp,rel_log2,-0.8520
938,v0_baseline_simcyp,rel_log2,0.5418
963,v0_baseline_simcyp,rel_log2,0.7355
967,v0_baseline_simcyp,rel_log2,0.1016
973,v0_baseline_simcyp,rel_log2,0.1884
1001,v0_baseline_simcyp,rel_log2,0.5906
1009,v0_baseline_simcyp,rel_log2,-0.7061
1018,v0_baseline_simcyp,rel_log2,0.2662
1041,v0_baseline_simcyp,rel_log2,-0.1833
1094,v0_baseline_simcyp,rel_log2,0.0100
1095,v0_baseline_simcyp,rel_log2,-0.3094
1197,v0_baseline_simcyp,rel_log2,-0.1776
1245,v0_baseline_simcyp,rel_log2,0.5895
1293,v0_baseline_simcyp,rel_log2,-1.5181
1300,v0_baseline_simcyp,rel_log2,0.5966
1319,v0_baseline_simcyp,rel_log2,-0.0967
1323,v0_baseline_simcyp,rel_log2,0.4646
1341,v0_baseline_simcyp,rel_log2,0.4211
52,v4_ML,abs_log2,0.8641
172,v4_ML,abs_log2,0.8263
177,v4_ML,abs_log2,1.2691
184,v4_ML,abs_log2,0.4572
295,v4_ML,abs_log2,1.0318
308,v4_ML,abs_log2,0.8309
323,v4_ML,abs_log2,2.6767
332,v4_ML,abs_log2,0.5980
366,v4_ML,abs_log2,0.8793
394,v4_ML,abs_log2,0.7767
413,v4_ML,abs_log2,2.5218
471,v4_ML,abs_log2,0.7777
488,v4_ML,abs_log2,0.7539
637,v4_ML,abs_log2,0.9304
674,v4_ML,abs_log2,1.2201
703,v4_ML,abs_log2,1.2870
739,v4_ML,abs_log2,0.3593
781,v4_ML,abs_log2,0.8637
787,v4_ML,abs_log2,2.2803
800,v4_ML,abs_log2,0.9157
811,v4_ML,abs_log2,1.3171
832,v4_ML,abs_log2,2.2573
875,v4_ML,abs_log2,0.4869
907,v4_ML,abs_log2,0.4937
938,v4_ML,abs_log2,2.2161
963,v4_ML,abs_log2,1.2614
967,v4_ML,abs_log2,0.9204
973,v4_ML,abs_log2,0.8005
1001,v4_ML,abs_log2,0.4409
1009,v4_ML,abs_log2,1.2927
1018,v4_ML,abs_log2,1.6844
1041,v4_ML,abs_log2,0.5500
1094,v4_ML,abs_log2,1.9168
1095,v4_ML,abs_log2,2.7720
1197,v4_ML,abs_log2,0.9888
1245,v4_ML,abs_log2,1.4149
1293,v4_ML,abs_log2,3.0490
1300,v4_ML,abs_log2,1.6409
1319,v4_ML,abs_log2,2.4145
1323,v4_ML,abs_log2,2.1104
1341,v4_ML,abs_log2,2.0510
52,v1_control_minimal,abs_log2,0.2315
172,v1_control_minimal,abs_log2,0.3219
177,v1_control_minimal,abs_log2,0.9656
184,v1_control_minimal,abs_log2,0.4552
295,v1_control_minimal,abs_log2,0.5344
308,v1_control_minimal,abs_log2,1.6386
323,v1_control_minimal,abs_log2,1.3024
332,v1_control_minimal,abs_log2,0.8233
366,v1_control_minimal,abs_log2,0.6745
394,v1_control_minimal,abs_log2,0.8380
413,v1_control_minimal,abs_log2,2.1367
471,v1_control_minimal,abs_log2,0.7467
488,v1_control_minimal,abs_log2,0.8941
637,v1_control_minimal,abs_log2,0.5436
674,v1_control_minimal,abs_log2,1.0706
703,v1_control_minimal,abs_log2,1.1071
739,v1_control_minimal,abs_log2,0.2004
781,v1_control_minimal,abs_log2,0.2971
787,v1_control_minimal,abs_log2,1.7836
800,v1_control_minimal,abs_log2,0.5710
811,v1_control_minimal,abs_log2,0.7601
832,v1_control_minimal,abs_log2,1.3000
875,v1_control_minimal,abs_log2,0.4141
907,v1_control_minimal,abs_log2,0.3761
938,v1_control_minimal,abs_log2,0.4890
963,v1_control_minimal,abs_log2,0.2618
967,v1_control_minimal,abs_log2,0.2771
973,v1_control_minimal,abs_log2,0.5378
1001,v1_control_minimal,abs_log2,1.1526
1009,v1_control_minimal,abs_log2,0.6078
1018,v1_control_minimal,abs_log2,0.0653
1041,v1_control_minimal,abs_log2,0.4502
1094,v1_control_minimal,abs_log2,0.4105
1095,v1_control_minimal,abs_log2,1.2260
1197,v1_control_minimal,abs_log2,0.9039
1245,v1_control_minimal,abs_log2,0.7987
1293,v1_control_minimal,abs_log2,1.8106
1300,v1_control_minimal,abs_log2,0.9940
1319,v1_control_minimal,abs_log2,0.8583
1323,v1_control_minimal,abs_log2,0.8037
1341,v1_control_minimal,abs_log2,0.4379
52,v3_CLsys,abs_log2,0.7338
172,v3_CLsys,abs_log2,0.8231
177,v3_CLsys,abs_log2,1.2392
184,v3_CLsys,abs_log2,0.5853
295,v3_CLsys,abs_log2,0.7884
308,v3_CLsys,abs_log2,0.7434
323,v3_CLsys,abs_log2,2.4150
332,v3_CLsys,abs_log2,0.6037
366,v3_CLsys,abs_log2,1.0364
394,v3_CLsys,abs_log2,0.7108
413,v3_CLsys,abs_log2,2.6857
471,v3_CLsys,abs_log2,0.6230
488,v3_CLsys,abs_log2,0.9918
637,v3_CLsys,abs_log2,0.9103
674,v3_CLsys,abs_log2,1.2561
703,v3_CLsys,abs_log2,1.0345
739,v3_CLsys,abs_log2,0.4385
781,v3_CLsys,abs_log2,0.5918
787,v3_CLsys,abs_log2,3.6903
800,v3_CLsys,abs_log2,0.8132
811,v3_CLsys,abs_log2,1.0702
832,v3_CLsys,abs_log2,2.2636
875,v3_CLsys,abs_log2,0.5174
907,v3_CLsys,abs_log2,0.4980
938,v3_CLsys,abs_log2,2.0167
