compound_id,scenario,metric,value
52,v4_ML,rel_log2,-0.8641
172,v4_ML,rel_log2,0.6323
177,v4_ML,rel_log2,0.1725
184,v4_ML,rel_log2,-0.4572
295,v4_ML,rel_log2,-0.0567
308,v4_ML,rel_log2,-0.6094
323,v4_ML,rel_log2,2.6707
332,v4_ML,rel_log2,-0.2004
366,v4_ML,rel_log2,0.4020
394,v4_ML,rel_log2,0.7767
413,v4_ML,rel_log2,1.9188
471,v4_ML,rel_log2,-0.7213
488,v4_ML,rel_log2,0.2429
637,v4_ML,rel_log2,0.9304
674,v4_ML,rel_log2,0.9073
703,v4_ML,rel_log2,0.4515
739,v4_ML,rel_log2,-0.2590
781,v4_ML,rel_log2,0.3404
787,v4_ML,rel_log2,-2.2803
800,v4_ML,rel_log2,0.9157
811,v4_ML,rel_log2,-0.2185
832,v4_ML,rel_log2,-0.7258
875,v4_ML,rel_log2,-0.4869
907,v4_ML,rel_log2,-0.2242
938,v4_ML,rel_log2,2.2161
963,v4_ML,rel_log2,1.2393
967,v4_ML,rel_log2,-0.9204
973,v4_ML,rel_log2,-0.8005
1001,v4_ML,rel_log2,-0.2254
1009,v4_ML,rel_log2,1.1252
1018,v4_ML,rel_log2,-1.6844
1041,v4_ML,rel_log2,0.3783
1094,v4_ML,rel_log2,-1.9168
1095,v4_ML,rel_log2,-0.4874
1197,v4_ML,rel_log2,0.4816
1245,v4_ML,rel_log2,-0.5687
1293,v4_ML,rel_log2,-3.0490
1300,v4_ML,rel_log2,1.6409
1319,v4_ML,rel_log2,1.9803
1323,v4_ML,rel_log2,-2.0084
1341,v4_ML,rel_log2,2.0510
52,v0_run0,rel_log2,0.0579
172,v0_run0,rel_log2,0.6914
177,v0_run0,rel_log2,-0.5038
184,v0_run0,rel_log2,0.1782
295,v0_run0,rel_log2,0.0007
308,v0_run0,rel_log2,0.8671
323,v0_run0,rel_log2,-0.2326
332,v0_run0,rel_log2,0.0214
366,v0_run0,rel_log2,-0.3840
394,v0_run0,rel_log2,-1.5247
413,v0_run0,rel_log2,0.8344
471,v0_run0,rel_log2,-1.3178
488,v0_run0,rel_log2,0.4968
637,v0_run0,rel_log2,-0.1494
674,v0_run0,rel_log2,-0.8918
703,v0_run0,rel_log2,1.5936
739,v0_run0,rel_log2,0.3058
781,v0_run0,rel_log2,0.1120
787,v0_run0,rel_log2,-3.2923
800,v0_run0,rel_log2,0.5205
811,v0_run0,rel_log2,0.1414
832,v0_run0,rel_log2,0.3575
875,v0_run0,rel_log2,0.2997
907,v0_run0,rel_log2,-0.8520
938,v0_run0,rel_log2,0.5418
963,v0_run0,rel_log2,0.7355
967,v0_run0,rel_log2,0.1016
973,v0_run0,rel_log2,0.1884
1001,v0_run0,rel_log2,0.5906
1009,v0_run0,rel_log2,-0.7061
1018,v0_run0,rel_log2,0.2662
1041,v0_run0,rel_log2,-0.1833
1094,v0_run0,rel_log2,0.0100
1095,v0_run0,rel_log2,-0.3094
1197,v0_run0,rel_log2,-0.1776
1245,v0_run0,rel_log2,0.5895
1293,v0_run0,rel_log2,-1.5181
1300,v0_run0,rel_log2,0.5966
1319,v0_run0,rel_log2,-0.0967
1323,v0_run0,rel_log2,0.4646
1341,v0_run0,rel_log2,0.4211
52,h2_run2,rel_log2,-2.9176
172,h2_run2,rel_log2,0.7443
177,h2_run2,rel_log2,-0.4532
184,h2_run2,rel_log2,-0.3595
295,h2_run2,rel_log2,0.3258
308,h2_run2,rel_log2,-0.9100
323,h2_run2,rel_log2,1.4886
332,h2_run2,rel_log2,-1.3046
366,h2_run2,rel_log2,1.1640
394,h2_run2,rel_log2,0.7656
413,h2_run2,rel_log2,-2.4236
471,h2_run2,rel_log2,-0.7489
488,h2_run2,rel_log2,-3.3142
637,h2_run2,rel_log2,0.6736
674,h2_run2,rel_log2,0.9224
703,h2_run2,rel_log2,-1.0533
739,h2_run2,rel_log2,-0.7142
781,h2_run2,rel_log2,0.1933
787,h2_run2,rel_log2,-5.7100
800,h2_run2,rel_log2,1.1623
811,h2_run2,rel_log2,-1.0039
832,h2_run2,rel_log2,-0.6523
875,h2_run2,rel_log2,-6.8170
907,h2_run2,rel_log2,-0.4865
938,h2_run2,rel_log2,2.2854
963,h2_run2,rel_log2,1.0502
967,h2_run2,rel_log2,-0.1862
973,h2_run2,rel_log2,-0.6795
1001,h2_run2,rel_log2,1.2327
1009,h2_run2,rel_log2,0.2951
1018,h2_run2,rel_log2,-1.7645
1041,h2_run2,rel_log2,0.2233
1094,h2_run2,rel_log2,-2.8819
1095,h2_run2,rel_log2,-7.7879
1197,h2_run2,rel_log2,-0.2181
1245,h2_run2,rel_log2,0.1365
1293,h2_run2,rel_log2,-2.6802
1300,h2_run2,rel_log2,1.5577
1319,h2_run2,rel_log2,1.9044
1323,h2_run2,rel_log2,-2.0816
1341,h2_run2,rel_log2,2.3255
52,v1_run0,rel_log2,0.2203
172,v1_run0,rel_log2,0.3207
177,v1_run0,rel_log2,-0.2687
184,v1_run0,rel_log2,0.4552
295,v1_run0,rel_log2,0.3535
308,v1_run0,rel_log2,1.4672
323,v1_run0,rel_log2,0.6425
332,v1_run0,rel_log2,-0.5230
366,v1_run0,rel_log2,0.0423
394,v1_run0,rel_log2,-0.8157
413,v1_run0,rel_log2,1.6401
471,v1_run0,rel_log2,-0.5914
488,v1_run0,rel_log2,0.7607
637,v1_run0,rel_log2,0.4758
674,v1_run0,rel_log2,0.3458
703,v1_run0,rel_log2,1.1071
739,v1_run0,rel_log2,-0.0621
781,v1_run0,rel_log2,-0.1704
787,v1_run0,rel_log2,-1.7836
800,v1_run0,rel_log2,0.5710
811,v1_run0,rel_log2,0.4639
832,v1_run0,rel_log2,0.4421
875,v1_run0,rel_log2,0.4141
907,v1_run0,rel_log2,-0.1140
938,v1_run0,rel_log2,0.0125
963,v1_run0,rel_log2,0.2044
967,v1_run0,rel_log2,0.2546
973,v1_run0,rel_log2,0.5266
1001,v1_run0,rel_log2,1.1526
1009,v1_run0,rel_log2,0.4319
1018,v1_run0,rel_log2,0.0192
1041,v1_run0,rel_log2,-0.1022
1094,v1_run0,rel_log2,0.4105
1095,v1_run0,rel_log2,0.5726
1197,v1_run0,rel_log2,0.3514
1245,v1_run0,rel_log2,0.6121
1293,v1_run0,rel_log2,-1.8106
1300,v1_run0,rel_log2,0.9787
1319,v1_run0,rel_log2,-0.0313
1323,v1_run0,rel_log2,0.4868
1341,v1_run0,rel_log2,0.2406
52,h2_run3,rel_log2,-3.0519
172,h2_run3,rel_log2,0.6168
177,h2_run3,rel_log2,-0.5677
184,h2_run3,rel_log2,-0.3594
295,h2_run3,rel_log2,0.3294
308,h2_run3,rel_log2,-0.8823
323,h2_run3,rel_log2,1.6693
332,h2_run3,rel_log2,-1.5990
366,h2_run3,rel_log2,1.0742
394,h2_run3,rel_log2,0.7698
413,h2_run3,rel_log2,-2.4103
471,h2_run3,rel_log2,-0.7364
488,h2_run3,rel_log2,-3.2400
637,h2_run3,rel_log2,0.6950
674,h2_run3,rel_log2,0.8736
703,h2_run3,rel_log2,-1.0430
739,h2_run3,rel_log2,-0.8160
781,h2_run3,rel_log2,-0.0980
787,h2_run3,rel_log2,-5.9698
800,h2_run3,rel_log2,1.0102
811,h2_run3,rel_log2,-1.1305
832,h2_run3,rel_log2,-0.6608
875,h2_run3,rel_log2,-6.9387
907,h2_run3,rel_log2,-0.4912
938,h2_run3,rel_log2,2.1222
963,h2_run3,rel_log2,0.9803
967,h2_run3,rel_log2,-0.2063
973,h2_run3,rel_log2,-0.6737
1001,h2_run3,rel_log2,1.1862
1009,h2_run3,rel_log2,0.2740
1018,h2_run3,rel_log2,-1.7941
1041,h2_run3,rel_log2,0.2225
1094,h2_run3,rel_log2,-2.8469
1095,h2_run3,rel_log2,-8.9736
1197,h2_run3,rel_log2,-0.4309
1245,h2_run3,rel_log2,0.1364
1293,h2_run3,rel_log2,-2.6809
1300,h2_run3,rel_log2,1.5687
1319,h2_run3,rel_log2,1.8089
1323,h2_run3,rel_log2,-2.0818
1341,h2_run3,rel_log2,2.3265
52,s1_run1,rel_log2,0.2203
172,s1_run1,rel_log2,0.3029
177,s1_run1,rel_log2,-0.2151
184,s1_run1,rel_log2,0.4557
295,s1_run1,rel_log2,0.3535
308,s1_run1,rel_log2,1.4669
323,s1_run1,rel_log2,0.6474
332,s1_run1,rel_log2,-0.5235
366,s1_run1,rel_log2,0.0432
394,s1_run1,rel_log2,-0.8157
413,s1_run1,rel_log2,1.6723
471,s1_run1,rel_log2,-0.5918
488,s1_run1,rel_log2,0.7586
637,s1_run1,rel_log2,0.4810
674,s1_run1,rel_log2,0.3447
703,s1_run1,rel_log2,1.1072
739,s1_run1,rel_log2,-0.0628
781,s1_run1,rel_log2,-0.1749
787,s1_run1,rel_log2,-1.7836
800,s1_run1,rel_log2,0.5802
811,s1_run1,rel_log2,0.4618
832,s1_run1,rel_log2,0.4421
875,s1_run1,rel_log2,0.4066
907,s1_run1,rel_log2,-0.1140
938,s1_run1,rel_log2,0.0715
963,s1_run1,rel_log2,0.2506
967,s1_run1,rel_log2,0.2546
973,s1_run1,rel_log2,0.5305
1001,s1_run1,rel_log2,0.1374
1009,s1_run1,rel_log2,0.4039
1018,s1_run1,rel_log2,0.0190
1041,s1_run1,rel_log2,-0.1023
1094,s1_run1,rel_log2,0.4102
1095,s1_run1,rel_log2,0.5757
1197,s1_run1,rel_log2,0.3511
1245,s1_run1,rel_log2,0.6118
1293,s1_run1,rel_log2,-1.8108
1300,s1_run1,rel_log2,1.0078
1319,s1_run1,rel_log2,-0.0341
1323,s1_run1,rel_log2,0.4733
1341,s1_run1,rel_log2,0.2505
52,h1_run1,rel_log2,-1.9401
172,h1_run1,rel_log2,0.2742
177,h1_run1,rel_log2,-0.5179
184,h1_run1,rel_log2,0.1973
295,h1_run1,rel_log2,-0.7907
308,h1_run1,rel_log2,1.0833
323,h1_run1,rel_log2,0.7434
332,h1_run1,rel_log2,-0.0156
366,h1_run1,rel_log2,1.0312
394,h1_run1,rel_log2,0.7437
413,h1_run1,rel_log2,-0.0068
471,h1_run1,rel_log2,-1.3126
488,h1_run1,rel_log2,0.2225
637,h1_run1,rel_log2,-0.1809
674,h1_run1,rel_log2,0.6988
703,h1_run1,rel_log2,0.2823
739,h1_run1,rel_log2,-0.5555
781,h1_run1,rel_log2,-1.3569
787,h1_run1,rel_log2,-1.2531
800,h1_run1,rel_log2,0.7213
811,h1_run1,rel_log2,-0.8637
832,h1_run1,rel_log2,-1.8843
875,h1_run1,rel_log2,-0.1029
907,h1_run1,rel_log2,-0.8311
938,h1_run1,rel_log2,-0.2278
963,h1_run1,rel_log2,-0.3443
967,h1_run1,rel_log2,0.4691
973,h1_run1,rel_log2,0.2284
1001,h1_run1,rel_log2,1.0337
1009,h1_run1,rel_log2,-0.1377
1018,h1_run1,rel_log2,-0.9615
1041,h1_run1,rel_log2,0.1189
1094,h1_run1,rel_log2,0.2426
1095,h1_run1,rel_log2,-5.2349
1197,h1_run1,rel_log2,-0.0059
1245,h1_run1,rel_log2,0.1190
1293,h1_run1,rel_log2,-3.0885
1300,h1_run1,rel_log2,0.4067
1319,h1_run1,rel_log2,0.1659
1323,h1_run1,rel_log2,-0.3252
1341,h1_run1,rel_log2,-0.1162
52,v3_CLsys,rel_log2,-0.7338
172,v3_CLsys,rel_log2,0.6447
177,v3_CLsys,rel_log2,0.3694
184,v3_CLsys,rel_log2,-0.5853
295,v3_CLsys,rel_log2,0.1552
308,v3_CLsys,rel_log2,-0.5175
323,v3_CLsys,rel_log2,2.2827
332,v3_CLsys,rel_log2,-0.2351
366,v3_CLsys,rel_log2,0.6367
394,v3_CLsys,rel_log2,0.7108
413,v3_CLsys,rel_log2,2.3830
471,v3_CLsys,rel_log2,-0.6230
488,v3_CLsys,rel_log2,0.2361
637,v3_CLsys,rel_log2,0.9103
674,v3_CLsys,rel_log2,1.1867
703,v3_CLsys,rel_log2,0.8842
739,v3_CLsys,rel_log2,-0.1650
781,v3_CLsys,rel_log2,0.2555
787,v3_CLsys,rel_log2,-3.6903
800,v3_CLsys,rel_log2,0.8132
811,v3_CLsys,rel_log2,0.6615
832,v3_CLsys,rel_log2,-0.6978
875,v3_CLsys,rel_log2,-0.5174
907,v3_CLsys,rel_log2,-0.3485
938,v3_CLsys,rel_log2,2.0167
963,v3_CLsys,rel_log2,1.5697
967,v3_CLsys,rel_log2,-0.2265
973,v3_CLsys,rel_log2,-0.6421
1001,v3_CLsys,rel_log2,1.1509
1009,v3_CLsys,rel_log2,1.0070
1018,v3_CLsys,rel_log2,-1.6696
1041,v3_CLsys,rel_log2,0.2962
1094,v3_CLsys,rel_log2,-1.6164
1095,v3_CLsys,rel_log2,0.7867
1197,v3_CLsys,rel_log2,0.2989
1245,v3_CLsys,rel_log2,-0.0362
1293,v3_CLsys,rel_log2,-2.7991
1300,v3_CLsys,rel_log2,1.2025
1319,v3_CLsys,rel_log2,1.8392
1323,v3_CLsys,rel_log2,-1.7171
1341,v3_CLsys,rel_log2,2.2630
52,h2_run1,rel_log2,-2.1435
172,h2_run1,rel_log2,1.8788
177,h2_run1,rel_log2,0.1711
184,h2_run1,rel_log2,-0.3780
295,h2_run1,rel_log2,-1.4435
308,h2_run1,rel_log2,-0.4988
323,h2_run1,rel_log2,1.7350
332,h2_run1,rel_log2,0.0273
366,h2_run1,rel_log2,1.1291
394,h2_run1,rel_log2,0.8125
