scenario,rel_log2_mean,rel_log2_median,rel_log2_std,abs_log2_mean,abs_log2_median,abs_log2_std,fe_cmax_rel_mean,fe_cmax_rel_median,fe_cmax_rel_std,fe_cmax_abs_mean,fe_cmax_abs_median,fe_cmax_abs_std,fe_auc_rel_mean,fe_auc_rel_median,fe_auc_rel_std,fe_auc_abs_mean,fe_auc_abs_median,fe_auc_abs_std,delta_tmax_mean,delta_tmax_median,delta_tmax_std,time_within_2fold_mean,time_within_3fold_mean,time_within_5fold_mean,time_within_10fold_mean,cmax_within_2fold_mean,cmax_within_3fold_mean,cmax_within_5fold_mean,cmax_within_10fold_mean,auc_within_2fold_mean,auc_within_3fold_mean,auc_within_5fold_mean,auc_within_10fold_mean
h1_run1,-0.3237,-0.0156,1.1750,1.2250,1.0101,1.0084,-0.1288,0.0081,1.6118,1.1904,1.0395,1.0782,0.0029,0.1500,0.9243,0.6438,0.4361,0.6553,-0.0394,0.0000,0.2816,0.5932,0.7745,0.8815,0.9365,0.4634,0.7317,0.8780,0.9512,0.8049,0.9024,0.9512,1.0000
h1_run2,-0.8244,-0.0425,2.8099,1.7193,1.0851,2.6254,0.0542,-0.1683,1.3865,1.1157,0.9132,0.8060,0.0004,0.1166,0.8194,0.5981,0.5039,0.5520,-0.0523,0.0000,0.3122,0.5762,0.7665,0.8564,0.9151,0.5854,0.7073,0.8780,1.0000,0.8537,0.9756,0.9756,1.0000
h1_run3,-0.8848,-0.0142,2.8246,1.7259,1.0405,2.6518,0.0092,-0.1624,1.3830,1.1213,0.8773,0.7900,-0.0529,0.1091,0.8232,0.5858,0.4803,0.5734,-0.0523,0.0000,0.3122,0.5752,0.7725,0.8573,0.9136,0.6098,0.7073,0.9024,1.0000,0.8537,0.9512,0.9756,1.0000
h2_run1,-0.2272,-0.2998,1.5770,1.6821,1.7149,0.8570,0.0502,0.0387,1.7431,1.3447,1.2165,1.0898,0.0422,0.2215,1.4298,1.1933,0.9594,0.7658,-0.0289,0.0000,0.3140,0.3586,0.5617,0.7649,0.8871,0.4146,0.6585,0.8780,0.9268,0.5366,0.6829,0.9512,1.0000
h2_run2,-0.7000,-0.3595,2.2482,1.9512,1.2632,1.8726,0.1466,0.1462,1.5136,1.2091,0.9939,0.9026,-0.0533,0.0395,1.3323,1.1135,0.9207,0.7120,-0.0273,0.0000,0.2938,0.4489,0.6117,0.7907,0.8919,0.5122,0.6829,0.9024,1.0000,0.5366,0.7073,0.9512,1.0000
h2_run3,-0.7810,-0.4309,2.3556,1.9956,1.3213,2.0099,0.0940,0.0519,1.5126,1.2053,0.9883,0.8989,-0.0706,0.0397,1.3584,1.1308,0.8908,0.7345,-0.0273,0.0000,0.2938,0.4414,0.6069,0.7878,0.8913,0.5122,0.6585,0.8537,1.0000,0.5610,0.7317,0.9268,1.0000
s1_run1,0.2162,0.3447,0.6660,0.7657,0.6754,0.4778,-0.6978,-0.3964,0.8618,0.7595,0.4453,0.8066,0.2833,0.2935,0.6231,0.5023,0.3628,0.4604,3.5531,0.0000,22.1962,0.7685,0.8824,0.9471,0.9817,0.7073,0.9024,0.9512,0.9756,0.8537,0.9268,1.0000,1.0000
s1_run2,0.0925,0.1664,0.9506,0.9360,0.7415,0.7742,-0.6657,-0.4581,1.0987,0.8855,0.4903,0.9261,0.2939,0.2968,0.7323,0.5566,0.4080,0.5543,6.4968,0.0000,28.6078,0.7459,0.8614,0.9187,0.9666,0.7561,0.8293,0.8537,0.9756,0.8780,0.9512,0.9756,1.0000
s1_run3,0.0770,0.1478,0.9499,0.9344,0.7415,0.7750,-0.6915,-0.4734,1.0858,0.8924,0.4965,0.9236,0.2832,0.2860,0.7341,0.5481,0.4080,0.5596,3.5864,0.0000,22.1924,0.7459,0.8614,0.9187,0.9666,0.7561,0.8293,0.8537,0.9756,0.8780,0.9512,0.9756,1.0000
v0_run0,-0.0282,0.1120,0.8307,0.7547,0.6373,0.5989,-0.3519,-0.2838,0.7152,0.6121,0.4551,0.5044,0.0677,0.0960,0.6429,0.4721,0.2831,0.4355,0.0226,0.0000,0.3032,0.7670,0.8910,0.9555,0.9780,0.7561,0.9756,0.9756,1.0000,0.8780,1.0000,1.0000,1.0000
v1_run0,0.2367,0.3514,0.6806,0.7822,0.7467,0.4760,-0.6728,-0.3966,0.8926,0.7775,0.4949,0.8007,0.3028,0.2942,0.6444,0.5218,0.3709,0.4797,3.5531,0.0000,22.1962,0.7492,0.8840,0.9475,0.9821,0.7073,0.9024,0.9512,0.9756,0.8049,0.9268,1.0000,1.0000
v1_run4,0.1936,0.3380,0.6056,0.7053,0.5710,0.4277,-0.5515,-0.3054,0.9827,0.7766,0.3895,0.8119,0.2128,0.2226,0.5254,0.4211,0.2942,0.3751,0.0099,0.0000,0.3121,0.7882,0.9009,0.9574,0.9893,0.6829,0.9024,0.9268,0.9756,0.8780,0.9756,1.0000,1.0000
v2_CLint,0.0198,0.2797,1.0817,1.0521,0.8925,0.7186,-0.6913,-0.4679,0.8595,0.7602,0.4679,0.7976,0.2165,0.2180,0.9121,0.7157,0.6208,0.5958,3.5770,0.0000,22.1927,0.6592,0.8021,0.8893,0.9370,0.6829,0.8780,0.9512,0.9756,0.7561,0.9024,0.9756,1.0000
v3_CLsys,0.1888,0.2962,1.2993,1.2759,1.0345,0.7822,-0.6268,-0.4418,1.1893,0.9519,0.6779,0.9425,0.2787,0.4619,1.3063,1.0820,0.8909,0.7656,3.6003,0.0000,22.1905,0.5259,0.6992,0.8500,0.9512,0.6829,0.8049,0.8537,0.9756,0.6098,0.7805,0.9268,1.0000
v4_ML,0.0661,-0.0567,1.2610,1.3219,1.0318,0.7388,-1.0236,-0.7844,1.3817,1.3003,0.9103,1.1180,0.1687,0.2745,1.3689,1.0720,0.7918,0.8515,3.6104,0.0000,22.1890,0.5106,0.6671,0.8265,0.9558,0.5610,0.6829,0.8049,0.9512,0.5854,0.7561,0.9268,0.9756
