scenario,rel_log2_mean,rel_log2_median,rel_log2_std,abs_log2_mean,abs_log2_median,abs_log2_std,fe_cmax_rel_mean,fe_cmax_rel_median,fe_cmax_rel_std,fe_cmax_abs_mean,fe_cmax_abs_median,fe_cmax_abs_std,fe_auc_rel_mean,fe_auc_rel_median,fe_auc_rel_std,fe_auc_abs_mean,fe_auc_abs_median,fe_auc_abs_std,delta_tmax_mean,delta_tmax_median,delta_tmax_std,time_within_2fold_mean,time_within_3fold_mean,time_within_5fold_mean,time_within_10fold_mean,cmax_within_2fold_mean,cmax_within_3fold_mean,cmax_within_5fold_mean,cmax_within_10fold_mean,auc_within_2fold_mean,auc_within_3fold_mean,auc_within_5fold_mean,auc_within_10fold_mean,rk_abslog2,rk_fe_auc,rk_fe_cmax,rk_time2,rk_auc2,rk_cmax2,rank_score
v0_run0,-0.028,0.112,0.831,0.755,0.637,0.599,-0.352,-0.284,0.715,0.612,0.455,0.504,0.068,0.096,0.643,0.472,0.283,0.435,0.023,0.000,0.303,0.767,0.891,0.956,0.978,0.756,0.976,0.976,1.000,0.878,1.000,1.000,1.000,2.000,1.000,3.000,3.000,2.500,2.000,13.500
v1_run4,0.194,0.338,0.606,0.705,0.571,0.428,-0.551,-0.305,0.983,0.777,0.389,0.812,0.213,0.223,0.525,0.421,0.294,0.375,0.010,0.000,0.312,0.788,0.901,0.957,0.989,0.683,0.902,0.927,0.976,0.878,0.976,1.000,1.000,1.000,2.000,1.000,1.000,2.500,7.000,14.500
s1_run1,0.216,0.345,0.666,0.766,0.675,0.478,-0.698,-0.396,0.862,0.760,0.445,0.807,0.283,0.293,0.623,0.502,0.363,0.460,3.553,0.000,22.196,0.769,0.882,0.947,0.982,0.707,0.902,0.951,0.976,0.854,0.927,1.000,1.000,3.000,3.000,2.000,2.000,6.000,4.500,20.500
s1_run2,0.092,0.166,0.951,0.936,0.741,0.774,-0.666,-0.458,1.099,0.885,0.490,0.926,0.294,0.297,0.732,0.557,0.408,0.554,6.497,0.000,28.608,0.746,0.861,0.919,0.967,0.756,0.829,0.854,0.976,0.878,0.951,0.976,1.000,4.000,5.000,5.000,5.500,2.500,2.000,24.000
s1_run3,0.077,0.148,0.950,0.934,0.741,0.775,-0.692,-0.473,1.086,0.892,0.496,0.924,0.283,0.286,0.734,0.548,0.408,0.560,3.586,0.000,22.192,0.746,0.861,0.919,0.967,0.756,0.829,0.854,0.976,0.878,0.951,0.976,1.000,5.000,6.000,7.000,5.500,2.500,2.000,28.000
v1_run0,0.237,0.351,0.681,0.782,0.747,0.476,-0.673,-0.397,0.893,0.778,0.495,0.801,0.303,0.294,0.644,0.522,0.371,0.480,3.553,0.000,22.196,0.749,0.884,0.947,0.982,0.707,0.902,0.951,0.976,0.805,0.927,1.000,1.000,6.000,4.000,6.000,4.000,8.500,4.500,33.000
v2_CLint,0.020,0.280,1.082,1.052,0.893,0.719,-0.691,-0.468,0.860,0.760,0.468,0.798,0.217,0.218,0.912,0.716,0.621,0.596,3.577,0.000,22.193,0.659,0.802,0.889,0.937,0.683,0.878,0.951,0.976,0.756,0.902,0.976,1.000,7.000,10.000,4.000,7.000,10.000,7.000,45.000
h1_run3,-0.885,-0.014,2.825,1.726,1.040,2.652,0.009,-0.162,1.383,1.121,0.877,0.790,-0.053,0.109,0.823,0.586,0.480,0.573,-0.052,0.000,0.312,0.575,0.772,0.857,0.914,0.610,0.707,0.902,1.000,0.854,0.951,0.976,1.000,11.000,8.000,9.000,10.000,6.000,9.000,53.000
h1_run2,-0.824,-0.043,2.810,1.719,1.085,2.625,0.054,-0.168,1.387,1.116,0.913,0.806,0.000,0.117,0.819,0.598,0.504,0.552,-0.052,0.000,0.312,0.576,0.766,0.856,0.915,0.585,0.707,0.878,1.000,0.854,0.976,0.976,1.000,12.000,9.000,11.000,9.000,6.000,10.000,57.000
h1_run1,-0.324,-0.016,1.175,1.225,1.010,1.008,-0.129,0.008,1.612,1.190,1.039,1.078,0.003,0.150,0.924,0.644,0.436,0.655,-0.039,0.000,0.282,0.593,0.775,0.881,0.936,0.463,0.732,0.878,0.951,0.805,0.902,0.951,1.000,8.000,7.000,14.000,8.000,8.500,14.000,59.500
v3_CLsys,0.189,0.296,1.299,1.276,1.035,0.782,-0.627,-0.442,1.189,0.952,0.678,0.943,0.279,0.462,1.306,1.082,0.891,0.766,3.600,0.000,22.191,0.526,0.699,0.850,0.951,0.683,0.805,0.854,0.976,0.610,0.780,0.927,1.000,10.000,13.000,8.000,11.000,11.000,7.000,60.000
v4_ML,0.066,-0.057,1.261,1.322,1.032,0.739,-1.024,-0.784,1.382,1.300,0.910,1.118,0.169,0.274,1.369,1.072,0.792,0.851,3.610,0.000,22.189,0.511,0.667,0.826,0.956,0.561,0.683,0.805,0.951,0.585,0.756,0.927,0.976,9.000,11.000,10.000,12.000,12.000,11.000,65.000
h2_run3,-0.781,-0.431,2.356,1.996,1.321,2.010,0.094,0.052,1.513,1.205,0.988,0.899,-0.071,0.040,1.358,1.131,0.891,0.735,-0.027,0.000,0.294,0.441,0.607,0.788,0.891,0.512,0.659,0.854,1.000,0.561,0.732,0.927,1.000,14.000,12.000,12.000,14.000,13.000,12.500,77.500
h2_run2,-0.700,-0.360,2.248,1.951,1.263,1.873,0.147,0.146,1.514,1.209,0.994,0.903,-0.053,0.040,1.332,1.114,0.921,0.712,-0.027,0.000,0.294,0.449,0.612,0.791,0.892,0.512,0.683,0.902,1.000,0.537,0.707,0.951,1.000,13.000,14.000,13.000,13.000,14.500,12.500,80.000
h2_run1,-0.227,-0.300,1.577,1.682,1.715,0.857,0.050,0.039,1.743,1.345,1.217,1.090,0.042,0.222,1.430,1.193,0.959,0.766,-0.029,0.000,0.314,0.359,0.562,0.765,0.887,0.415,0.659,0.878,0.927,0.537,0.683,0.951,1.000,15.000,15.000,15.000,15.000,14.500,15.000,89.500
