scenario,rel_log2_mean,rel_log2_median,fe_cmax_rel_mean,fe_cmax_rel_median,fe_auc_rel_mean,fe_auc_rel_median
v0_run0,-0.028,0.112,-0.352,-0.284,0.068,0.096
v1_run4,0.194,0.338,-0.551,-0.305,0.213,0.223
s1_run1,0.216,0.345,-0.698,-0.396,0.283,0.293
s1_run2,0.092,0.166,-0.666,-0.458,0.294,0.297
s1_run3,0.077,0.148,-0.692,-0.473,0.283,0.286
v1_run0,0.237,0.351,-0.673,-0.397,0.303,0.294
v2_CLint,0.020,0.280,-0.691,-0.468,0.217,0.218
h1_run3,-0.885,-0.014,0.009,-0.162,-0.053,0.109
h1_run2,-0.824,-0.043,0.054,-0.168,0.000,0.117
h1_run1,-0.324,-0.016,-0.129,0.008,0.003,0.150
v3_CLsys,0.189,0.296,-0.627,-0.442,0.279,0.462
v4_ML,0.066,-0.057,-1.024,-0.784,0.169,0.274
h2_run3,-0.781,-0.431,0.094,0.052,-0.071,0.040
h2_run2,-0.700,-0.360,0.147,0.146,-0.053,0.040
h2_run1,-0.227,-0.300,0.050,0.039,0.042,0.222
