compound_id,rel_log2,abs_log2,fe_cmax_rel,fe_cmax_abs,fe_auc_rel,fe_auc_abs,delta_tmax,time_within_2fold,cmax_within_2fold,auc_within_2fold,time_within_3fold,cmax_within_3fold,auc_within_3fold,time_within_5fold,cmax_within_5fold,auc_within_5fold,time_within_10fold,cmax_within_10fold,auc_within_10fold
52,-0.8641357955516252,0.8641357955516252,-0.8130810588604315,0.8130810588604315,-0.9997079770035803,0.9997079770035803,0.0,0.7857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
172,0.6322531133970588,0.8263376004663172,-0.3672918649257942,0.3672918649257942,0.7107922779973517,0.7107922779973517,0.0,0.6666666666666666,1.0,1.0,0.75,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0
177,0.17249953552739822,1.26906712699427,-3.010151850728449,3.010151850728449,0.7006006592605847,0.7006006592605847,0.0,0.4117647058823529,0.0,1.0,0.5294117647058824,0.0,1.0,0.9411764705882353,0.0,1.0,1.0,1.0,1.0
184,-0.45719567519747795,0.45719567519747795,-0.3679481082316058,0.3679481082316058,-0.5692394581328724,0.5692394581328724,-0.18925379999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
295,-0.05665543953114453,1.0318333846881136,-1.4881674726159562,1.4881674726159562,-0.2109459371721223,0.2109459371721223,0.27848110000000004,0.6363636363636364,0.0,1.0,0.8181818181818182,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0
308,-0.6094048662745961,0.830859786974348,-3.231661225503922,3.231661225503922,-0.04024894187924409,0.04024894187924409,0.0,0.7692307692307693,0.0,1.0,0.8461538461538461,0.0,1.0,0.9230769230769231,0.0,1.0,1.0,1.0,1.0
323,2.6707057303398174,2.676696215575182,0.9103172738825249,0.9103172738825249,3.762365891032115,3.762365891032115,142.2,0.14285714285714285,1.0,0.0,0.14285714285714285,1.0,0.0,0.35714285714285715,1.0,0.0,0.8571428571428571,1.0,0.0
332,-0.2004293852134803,0.5980166559277887,-0.3280840917620595,0.3280840917620595,0.27446167238748786,0.27446167238748786,0.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0
366,0.4019536723989477,0.8792798470561699,0.08588137501642001,0.08588137501642001,0.615947213011279,0.615947213011279,0.7575758,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0
394,0.7766526542067738,0.7766526542067738,0.41787394314583204,0.41787394314583204,0.7917810582686511,0.7917810582686511,0.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
