compound_id,compound_name,pk_curve_id,Dose_mg_kg,Time_hr,Conc_ng_ml,pka acidic,pka basic,vd(l/kg),cl(l/hour/kg),fu,Trend_ID,PUBCHEM_CID,CAS #,CT_train_test,dataset,Conc_ng_ml_1mgkg
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,0.5357143,1366.8917,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,0.625,4308.7272,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.0714286,1032.4057,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.1160714,344.66,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.1160714,480.22,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.1160714,412.44,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.2053571,3792.6905,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.2053571,267.05,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.3839286,2109.1123,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.3839286,124.22,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.4732143,1366.8917,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.5625,2792.4371,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.5625,78.476,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.6964286,545.56,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.6964286,908.76,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.7857143,401.68,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.875,206.91,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,1.9642857,52.174,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,2.0089286,281.03,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,2.1875,191.67,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,2.5,127.43,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,2.5446429,65.641,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,2.5892857,42.541,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,2.6339286,48.329,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,2.9017857,29.764,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,2.9910714,23.657,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,3.1696429,86.908,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,3.3035714,127.43,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,3.3928571,41.469,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,3.4821429,29.014,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,3.6160714,37.446,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,3.6160714,82.584,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,3.9285714,22.48,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.1071429,28.283,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.1964286,32.961,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.4196429,98.732,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.5089286,47.112,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
