pk_curve_id,Time_hr,compound_id,compound_name,Dose_mg_kg,Conc_ng_ml,pka acidic,pka basic,vd(l/kg),cl(l/hour/kg),fu,Trend_ID,PUBCHEM_CID,CAS #,CT_train_test,dataset,Conc_ng_ml_1mgkg,Conc_mgl
acetylsalicylic acid 897mg (iv line-1),0.0311918,25,acetylsalicylic acid,12.81428571,2404.4901,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,2.4044901
acetylsalicylic acid 897mg (iv line-1),0.0524237,25,acetylsalicylic acid,12.81428571,26506.8732,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,26.5068732
acetylsalicylic acid 897mg (iv line-1),0.095875,25,acetylsalicylic acid,12.81428571,63482.453,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,63.482453
acetylsalicylic acid 897mg (iv line-1),0.1475791,25,acetylsalicylic acid,12.81428571,51943.1879,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,51.9431879
acetylsalicylic acid 897mg (iv line-1),0.1894786,25,acetylsalicylic acid,12.81428571,35675.979,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,35.675979
acetylsalicylic acid 897mg (iv line-1),0.2872439,25,acetylsalicylic acid,12.81428571,26722.2978,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,26.7222978
acetylsalicylic acid 897mg (iv line-1),0.3477653,25,acetylsalicylic acid,12.81428571,20602.5938,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,20.6025938
acetylsalicylic acid 897mg (iv line-1),0.4362197,25,acetylsalicylic acid,12.81428571,16193.3536,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,16.1933536
acetylsalicylic acid 897mg (iv line-1),0.5200186,25,acetylsalicylic acid,12.81428571,12850.946,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,12.850946
acetylsalicylic acid 897mg (iv line-1),0.6922719,25,acetylsalicylic acid,12.81428571,10909.8128,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,10.9098128
acetylsalicylic acid 897mg (iv line-1),0.8552141,25,acetylsalicylic acid,12.81428571,6361.312,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,6.361312
acetylsalicylic acid 897mg (iv line-1),1.2509311,25,acetylsalicylic acid,12.81428571,2226.1571,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,2.2261571
acetylsalicylic acid 897mg (iv line-1),1.5116387,25,acetylsalicylic acid,12.81428571,1375.2625,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,1.3752625
acetylsalicylic acid 897mg (iv line-1),2.0004655,25,acetylsalicylic acid,12.81428571,485.93,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,0.48593
acetylsalicylic acid 898mg (iv iv),0.0871797,25,acetylsalicylic acid,12.82857143,10671.4541,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,10.6714541
acetylsalicylic acid 898mg (iv iv),0.1829062,25,acetylsalicylic acid,12.82857143,26407.221,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,26.407221
acetylsalicylic acid 898mg (iv iv),0.2547011,25,acetylsalicylic acid,12.82857143,37063.8219,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,37.0638219
acetylsalicylic acid 898mg (iv iv),0.323231,25,acetylsalicylic acid,12.82857143,43048.24,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,43.04824
acetylsalicylic acid 898mg (iv iv),0.4428891,25,acetylsalicylic acid,12.82857143,47218.0883,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,47.2180883
acetylsalicylic acid 898mg (iv iv),0.5625472,25,acetylsalicylic acid,12.82857143,50220.0337,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,50.2200337
