PUBCHEM_CID,ID_trend_pbpk,Name_final,Drug_Name,class,class_control,scenario_A,scenario_B,scenario_control_A,scenario_control_B,ECCS_Class,ECCS_new,clearance_group,ionization_group,logP_bin,Vd_bin,dataset_s2,Mole_Wh,Mole_Wh_key,MW_s2,LogP,LogP_key,LogP_s2,pKa1,pKa2,pKa1_key,pKa2_key,CompoundType_key,Fu,Fu_key,Fu_s2,Fu_obs_s2,Fu_pred_s2,VD,VD_key,VD_s2,VD_obs_s2,VD_pred_s2,CLRbase,CLRbase_s2,CLint_H_extra,CL_MetPoBas_s2,CL_MetBas_s2,CL_MetBas_key,CLsys_obs_s2,CLsys_pred_s2,Pcnt3AMetCL,ActiveUptakeHep,BiliaryClearanceType,EnteredPeff,MDCKValue,PAMPAValue,KpPredictionMethod,KpPredictionMethod_key,clearance_ref_cas,clearance_ref_in_vivo_clintu_ml_min_kg,clearance_ref_hepatocyte_clintu_ml_min_kg,clearance_ref_hlm_clintu_ml_min_kg,clearance_ref_human_cl_ml_min_kg,clearance_ref_primary_mechanism,clearance_ref_mechanism_code,clearance_ref_mechanism_pct_ref,clearance_ref_mechanism_comments,clearance_ref_mechanism_notes,abs_log2_A,abs_log2_B,fe_cmax_abs_A,fe_cmax_abs_B,fe_auc_abs_A,fe_auc_abs_B,time_within_2fold_A,time_within_2fold_B,delta_score_conc_v3_minus_v2,delta_score_auc_v3_minus_v2,delta_score_cmax_v3_minus_v2,delta_time_within_2fold_v3_minus_v2
2118.0,52,alprazolam,Alprazolam,Both acceptable,Both acceptable,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Metabolism-leaning,Acidic,2-4,Mid,Geci+Simcyp+Trend,308.8,308.8,308.8,2.12,3.927,2.12,2.4,0.0,2.65,0.0,3,0.29,0.066482497,0.29,0.29,0.128176382971471,0.76,1.044,0.76,0.8,0.746203581221653,0.678,0.0,0.0,4.7,3.7,12.12596946,0.0444,0.1732281352118457,100.0,1.0,0,1.0,50.0,50.0,1,0,28981-97-7,2.6,1.0,2.3,0.74,metabolic,M1,"Greenblatt DJ, Wright CE. Clinical pharmacokinetics of alprazolam. Therapeutic implications. Clin. pharmacokinet.1993, 24, 453-471",,,0.5108,0.7338,0.0696,0.4835,0.8125,0.9476,0.8571,0.7857,0.22299999999999998,0.1351,0.4139,-0.07140000000000002
71733.0,172,bufuralol,Bufuralol,Both acceptable,Both acceptable,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Mixed/Other,Basic,2-4,Mid,Simcyp+Trend,261.36,261.36,261.36,3.5,1.874,3.5,8.97,0.0,9.12,0.0,3,0.19,0.222688149,0.19,0.19,0.162559477989145,1.38,2.814,1.38,1.7,1.51682789536275,0.216,27.218,0.0,50.9,33.7,23.08535507,0.534,0.32979078678135715,3.0,1.0,0,1.0,64.1,50.0,1,0,54340-62-4,,,,8.9,metabolic,M3,,,,0.4048,0.8231,0.1114,0.3521,0.2747,0.7216,0.8333,0.6667,0.41830000000000006,0.4469,0.24070000000000003,-0.16660000000000008
644073.0,177,buprenorphine,Buprenorphine,Refinement,Refinement,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Metabolism-leaning,Zwitterion,>4,High,Simcyp+Trend,467.64,467.64,467.64,4.98,4.317,4.98,9.62,8.31,10.01,8.21,5,0.04,0.131895392,0.04,0.04,0.168149394200146,2.17,3.748,2.17,4.9,2.98236596844285,0.625,0.09,219.892,20.0,62.5,20.6726968,1.14,0.29532424006261143,1e-05,1.0,0,1.0,50.0,50.0,1,0,52485-79-7,1354.0,78.0,661,19.0,metabolic,M1,,Renal negligible after IM dosing. The principal route of buprenorphine metabolism is via N-dealkylation to form its major active metabolite: norbuprenorphine which can further undergo glucuronidation. CYP3A4 has been shown to be the primary isoenzyme responsible for norbuprenorphine formation in human liver microsomes. CYP2C8 has also been identified as a minor contributor to norbuprenorphine formation.,,0.9521,1.2392,3.107,2.7163,0.1,0.8437,0.6471,0.4118,0.28710000000000013,0.7437,-0.39070000000000027,-0.2353
2519.0,184,caffeine,Caffeine,Both acceptable,Both acceptable,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Mixed/Other,Acidic,<2,Low,Geci+Simcyp+Trend,194.19,194.19,194.19,-0.07,0.082,-0.07,1.05,0.0,1.43,0.0,3,0.68,0.824674494,0.68,0.64,0.538500113288558,0.45,0.963,0.45,0.63,0.666779618118394,0.038,3.87,0.0,5.6,1e-05,4.77954217,0.084,0.06827917385178087,1e-05,1.0,0,1.0,50.0,50.0,1,0,58-08-2,2.0,5.3,0.4,1.4,metabolic,M1,"Hakooz, Nancy M. Kh.  Caffeine metabolic ratios for the in vivo evaluation of CYP1A2, N-acetyltransferase 2, xanthine oxidase and CYP2A6 enzymatic activities.    Current Drug Metabolism  (2009),  10(4),  329-338. ",Renal ~1%,,0.359,0.5853,0.2331,0.6779,0.2991,0.6446,1.0,1.0,0.22630000000000006,0.3455,0.4448,0.0
84029.0,295,clarithromycin,Clarithromycin,Prefer v2_CLint,Both acceptable,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_4; High_MWt,Class4,Metabolism-leaning,Basic,<2,Mid,Geci+Simcyp+Trend,748.0,748.0,748.0,1.7,-0.37,1.7,8.99,0.0,8.21,0.0,3,0.18,0.50922592,0.18,0.23,0.176959095989418,1.75,2.814,1.75,1.5,4.67481538876228,8.05,0.0,0.0,66.58,31.14,29.46658898,0.438,0.42095127110770286,100.0,1.0,0,1.0,50.0,50.0,1,0,81103-11-9,,,,7.3,Mixed (30-40% renal),R3,"Biaxin filmtabs, PDR prescribing information (Abbott)",,,0.8221,0.7884,0.3217,1.0022,0.5343,0.0034,0.6364,0.6364,-0.03370000000000006,-0.5309,0.6805,0.0
135398737.0,308,clozapine,Clozapine,Refinement,Refinement,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Mixed/Other,Basic,2-4,Mid,Geci+Simcyp+Trend,326.8,326.8,326.8,3.5,3.095,3.5,7.75,0.0,7.67,0.0,3,0.055,0.070630508,0.055,0.055,0.0758660433766601,1.6,6.211,1.6,1.6,15.4115918522404,0.041,13.6,0.0,34.2,1e-05,50.40264628,0.15,0.7200378039504486,1e-05,1.0,0,1.0,50.0,50.0,1,0,5786-21-0,96.0,22.0,26,2.5,metabolic,M1,Clozaril prescribing information (Novartis).,http://www.pharma.us.novartis.com/product/pi/pdf/Clozaril.pdf. Accessed September 14 2010.,,0.8532,0.7434,1.3745,3.0772,0.8477,0.004,0.4615,0.7692,-0.10980000000000001,-0.8437,1.7026999999999999,0.3077
11626560.0,323,crizotinib,Crizotinib,Refinement,Refinement,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Renal-leaning,Multiprotic/Other,>4,High,Simcyp+Trend,450.34,450.34,450.34,4.28,3.771,4.28,9.4,5.6,9.63,5.05,1,0.093,0.098724281,0.093,0.09,0.105680866623056,3.0,7.56,3.0,22.15,9.41926336388565,2.51,0.0,0.0,20.0,1e-05,9.363348916,0.585,0.13376212736794327,1e-05,1.0,0,1.0,50.0,50.0,1,0,877399-52-5,,,,9.75,mixed,M2B2,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/202570Orig1s000ClinPharmR.pdf accessed october 1, 2018",,,1.3031,2.415,1.0353,0.0207,1.7927,3.185,0.7143,0.1429,1.1119,1.3923,-1.0146000000000002,-0.5714
216210.0,332,dabigatran,Dabigatran,Both acceptable,Both acceptable,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_3B,Class3,Renal-leaning,Zwitterion,<2,Mid,Geci+Simcyp+Trend,471.5,471.5,627.75,0.301,0.975,3.8,4.1,12.4,3.21,12.19,5,0.715,0.279476739,0.063,0.65,0.331609799474406,0.855,0.565,3.0,0.85,1.32757573220297,5.85,0.0015,0.0,20.0,9.3,19.80565511,0.1158,0.2829379301071414,0.0,1.0,0,1.0,50.0,50.0,1,0,211914-51-1,,,,1.93,renal,R1,"Blech, S. et al. DMD, 2008, 36, 386-399. N=5, 5 mg dose iv bolus, average weight 80.2 kg.  See notes from e-mail reply from Dr. Blech.  Free means ""unconjugated"" not ""unbound"".  Cl 155 mL/min, and VDss 68.6 L.",> 80% of radioactivity excreted in urine and stated that main pathway is the elimination of unchanged compound after iv dosing.,,0.8679,0.6037,0.8829,0.3801,0.3327,0.2531,0.7778,0.8889,-0.2642,-0.0796,-0.5028,0.11109999999999998
2995.0,366,desipramine,Desipramine,Both acceptable,Prefer v1_control_minimal,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Renal-leaning,Basic,>4,High,Simcyp+Trend,266.4,266.4,266.4,4.57,3.644,4.57,10.26,0.0,9.69,0.0,3,0.24,0.123274946,0.24,0.16,0.137185125846747,20.8,7.885,20.8,15.0,9.23512703899776,1.5,0.62,0.0,115.4,49.7,41.24094155,0.66,0.58915630786076,0.0,1.0,0,4.4,38.3,50.0,1,0,50-47-5,121.0,77.0,90,11.0,likely to be metabolism,M3,Ciraulo et al. discuss hydroxylation as major pathway but no percentages estimated.,,,0.9288,1.0364,0.3361,0.4979,0.835,0.7262,0.75,0.3333,0.10760000000000003,-0.10880000000000001,0.1618,-0.4167
2724385.0,394,digoxin,Digoxin,Prefer v3_CLsys,Refinement,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_4; High_MWt,Class4,Uptake/Biliary-influenced,Acidic,<2,High,Geci+Simcyp+Trend,780.94,780.94,780.94,1.26,0.551,1.26,0.0,0.0,0.0,0.0,4,0.71,0.244766014,0.71,0.7,0.176276854777086,7.0,0.788,7.0,4.1,0.528664913438755,9.66,6.672,3.678,19.14,13.46,1.134961711,0.102,0.016213738722904287,0.0,1.0,1,1.0,50.0,50.0,1,0,20830-75-5,,,,1.7,renal,R2,"Lanoxin, PDR prescribing information","Elimination of digoxin follows first-order kinetics (that is, the quantity of digoxin eliminated at any time is proportional to the total body content). Following intravenous administration to healthy volunteers, 50% to 70% of a digoxin dose is excreted unchanged in the urine. Renal excretion of digoxin is proportional to glomerular filtration rate and is largely independent of urine flow. In healthy volunteers with normal renal function, digoxin has a half-life of 1.5 to 2.0 days. ",,0.8967,0.7108,2.0487,0.223,0.7795,0.7275,0.625,1.0,-0.18590000000000007,-0.051999999999999935,-1.8257,0.375
