Drug,Fu,pKa1,pKa2,CompoundType,LogP,bp,HBAValue,HBDValue,Mole_Wh,DistributionModel,KpPredictionMethod,VssSwitch,VD,VD_sd,CL_MetBas,CL_MetBas_Var
52,0.066482497,2.65,0,3,3.927,0.794,3,0,308.8,0,0,0,1.044,50,8.883515,50
172,0.222688149,9.12,0,3,1.874,0.98,3,2,261.36,0,0,0,2.814,50,13.4553965,50
177,0.131895392,10.01,8.21,5,4.317,0.774,5,2,467.64,0,0,0,3.748,50,37.69903556,50
184,0.824674494,1.43,0,3,0.082,0.863,3,0,194.19,0,0,0,0.963,50,11.73855583,50
295,0.50922592,8.21,0,3,-0.37,0.742,14,4,748,0,0,0,2.814,50,31.99390051,50
308,0.070630508,7.67,0,3,3.095,0.966,4,1,326.8,0,0,0,6.211,50,42.9206213,50
323,0.098724281,9.63,5.05,1,3.771,0.875,5,2,450.34,0,0,0,7.56,50,11.30796199,50
332,0.279476739,3.21,12.19,5,0.975,0.807,9,4,471.5,0,0,0,0.565,50,12.9393911,50
366,0.123274946,9.69,0,3,3.644,1.072,2,1,266.4,0,0,0,7.885,50,42.10031934,50
394,0.244766014,0,0,4,0.551,0.725,14,6,780.94,0,0,0,0.788,50,0.924319765,50
413,0.073719227,0,0,4,0.459,0.649,15,5,807.89,0,0,0,3.339,50,36.09770654,50
471,0.56831618800000006,8.23,0,3,-0.545,0.765,14,5,733.9,0,0,0,2.758,50,27.6891625,50
488,0.07875031,4.34,0,3,2.121,0.73,4,0,358.8,0,0,0,0.87,50,5.76513976,50
637,0.133013336,9.04,0,3,3.876,0.962,2,0,280.4,0,0,0,7.666,50,39.46319014,50
674,0.016388869,3.78,0,3,4.179,0.644,9,0,705.6,0,0,0,1.905,50,15.59963152,50
703,0.072900848,3.69,0,3,1.268,0.644,4,1,369.4,0,0,0,0.641,50,20.05583232,50
739,0.091878341,11.29,1.52,5,2.953,0.894,4,2,321.16,0,0,0,1.032,50,7.297214963,50
781,0.991788353,10.81,0,3,-0.329,1.258,5,4,129.16,0,0,0,1.029,50,26.73174687,50
787,0.29315246,4.4,3.53,0,-0.313,0.661,13,5,454.44,0,0,0,0.431,50,17.54348379,50
800,0.561258402,9.59,0,3,1.653,0.935,4,2,267.4,0,0,0,2.764,50,38.71991275,50
811,0.052127465,5.28,0,3,3.864,0.752,2,0,325.8,0,0,0,1.286,50,14.60949957,50
832,0.004204546,4.83,0,2,5.252,0.614,4,2,586.2,0,0,0,0.333,50,6.353365494,50
875,0.085439799,0,0,0,1.258,0.942,7,1,346.3,0,0,0,1.08,50,59.04146702,50
907,0.382212289,7.11,0,3,1.981,0.844,2,0,293.4,0,0,0,1.879,50,27.71184748,50
938,0.124280584,9.6,0,3,3.289,0.906,4,1,329.4,0,0,0,4.385,50,18.22095267,50
963,0.381586961,0,0,0,1.68,0.907,3,1,179.22,0,0,0,0.881,50,26.93244242,50
967,0.221786107,7.3,0,2,1.185,0.796,5,2,232.24,0,0,0,0.455,50,4.464706761,50
973,0.129905107,8.15,0,2,2.201,0.951,4,2,252.28,0,0,0,0.575,50,4.666840305,50
1001,0.02398,3.69,2.81,1,3.948,0.639,9,1,700.8,0,0,0,1.483,50,13.1587986,50
1009,0.097592791,4.83,0,2,1.242,0.635,7,4,424.53,0,0,0,0.32,50,28.11572003,50
1018,0.15251958,3.65,0,2,1.573,0.626,5,1,285.36,0,0,0,0.245,50,4.019005865,50
1041,0.156018326,7.79,4.14,1,2.192,0.893,4,1,324.4,0,0,0,2.604,50,10.47861032,50
1094,0.020109515,7.14,5.86,5,1.501,0.651,6,1,357.427,0,0,0,0.481,50,11.81924513,50
1095,0.061798662,4.54,0,2,1.601,0.608,9,3,481.54,0,0,0,0.351,50,9.077133233,50
1197,0.878878978,1.77,6.64,0,-1.118,0.778,8,3,287.21,0,0,0,0.335,50,11.82708206,50
1245,0.046185965,5.21,0,2,1.845,0.641,5,2,270.3,0,0,0,0.252,50,1.288437451,50
1293,0.020413751,3.57,4.46,0,3.34,0.621,7,2,435.52,0,0,0,0.353,50,5.07557372,50
1300,0.109003259,8.43,0,3,3.23,0.653,6,0,454.6,0,0,0,5.155,50,34.74033484,50
1319,0.215209706,2.42,0,3,2.463,0.873,5,1,349.31,0,0,0,1.571,50,3.38252753,50
1323,0.018757,5.09,0,2,2.332,0.656,4,1,308.3,0,0,0,0.378,50,1.438682431,50
1341,0.610826059,9.45,0,2,-0.246,0.888,6,2,267.24,0,0,0,0.814,50,15.11512246,50
