Drug,Fu,pKa1,pKa2,CompoundType,LogP,bp,HBAValue,HBDValue,Mole_Wh,DistributionModel,KpPredictionMethod,VssSwitch,CLpdSwitch,EK_MicrosomeCLintValue1,EK_MicrosomeFUinc11
52,0.066482497,2.65,0,3,3.927,0.794,3,0,308.8,1,1,1,TRUE,14.537,0.841
172,0.222688149,9.12,0,3,1.874,0.98,3,2,261.36,1,1,1,TRUE,8.294,0.814
177,0.131895392,10.01,8.21,5,4.317,0.774,5,2,467.64,1,1,1,TRUE,34.311,0.842
184,0.824674494,1.43,0,3,0.082,0.863,3,0,194.19,1,1,1,TRUE,1.91,0.971
295,0.50922592,8.21,0,3,-0.37,0.742,14,4,748,1,1,1,TRUE,6.406,0.792
308,0.070630508,7.67,0,3,3.095,0.966,4,1,326.8,1,1,1,TRUE,24.953,0.626
323,0.098724281,9.63,5.05,1,3.771,0.875,5,2,450.34,1,1,1,TRUE,11.47,0.319
332,0.279476739,3.21,12.19,5,0.975,0.807,9,4,471.5,1,1,1,TRUE,7.932,0.839
366,0.123274946,9.69,0,3,3.644,1.072,2,1,266.4,1,1,1,TRUE,21.542,0.466
394,0.244766014,0,0,4,0.551,0.725,14,6,780.94,1,1,1,TRUE,9.846,0.531
413,0.073719227,0,0,4,0.459,0.649,15,5,807.89,1,1,1,TRUE,36.517,0.759
471,0.56831618800000006,8.23,0,3,-0.545,0.765,14,5,733.9,1,1,1,TRUE,4.84,0.83
488,0.07875031,4.34,0,3,2.121,0.73,4,0,358.8,1,1,1,TRUE,13.195,0.861
637,0.133013336,9.04,0,3,3.876,0.962,2,0,280.4,1,1,1,TRUE,29.273,0.342
674,0.016388869,3.78,0,3,4.179,0.644,9,0,705.6,1,1,1,TRUE,133.25,0.151
703,0.072900848,3.69,0,3,1.268,0.644,4,1,369.4,1,1,1,TRUE,14.093,0.733
739,0.091878341,11.29,1.52,5,2.953,0.894,4,2,321.16,1,1,1,TRUE,8.232,0.854
781,0.991788353,10.81,0,3,-0.329,1.258,5,4,129.16,1,1,1,TRUE,1.233,1
787,0.29315246,4.4,3.53,0,-0.313,0.661,13,5,454.44,1,1,1,TRUE,1.485,0.962
800,0.561258402,9.59,0,3,1.653,0.935,4,2,267.4,1,1,1,TRUE,7.026,0.88
811,0.052127465,5.28,0,3,3.864,0.752,2,0,325.8,1,1,1,TRUE,17.71,0.675
832,0.004204546,4.83,0,2,5.252,0.614,4,2,586.2,1,1,1,TRUE,84.716,0.107
875,0.085439799,0,0,0,1.258,0.942,7,1,346.3,1,1,1,TRUE,20.578,0.903
907,0.382212289,7.11,0,3,1.981,0.844,2,0,293.4,1,1,1,TRUE,7.425,0.831
938,0.124280584,9.6,0,3,3.289,0.906,4,1,329.4,1,1,1,TRUE,13.786,0.522
963,0.381586961,0,0,0,1.68,0.907,3,1,179.22,1,1,1,TRUE,8.538,0.966
967,0.221786107,7.3,0,2,1.185,0.796,5,2,232.24,1,1,1,TRUE,3.174,0.974
973,0.129905107,8.15,0,2,2.201,0.951,4,2,252.28,1,1,1,TRUE,4.902,0.928
1001,0.02398,3.69,2.81,1,3.948,0.639,9,1,700.8,1,1,1,TRUE,86.5,0.24
1009,0.097592791,4.83,0,2,1.242,0.635,7,4,424.53,1,1,1,TRUE,10.307,0.892
1018,0.15251958,3.65,0,2,1.573,0.626,5,1,285.36,1,1,1,TRUE,5.168,0.931
1041,0.156018326,7.79,4.14,1,2.192,0.893,4,1,324.4,1,1,1,TRUE,22.217,0.68
1094,0.020109515,7.14,5.86,5,1.501,0.651,6,1,357.427,1,1,1,TRUE,22.108,0.797
1095,0.061798662,4.54,0,2,1.601,0.608,9,3,481.54,1,1,1,TRUE,4.018,0.954
1197,0.878878978,1.77,6.64,0,-1.118,0.778,8,3,287.21,1,1,1,TRUE,1.195,1
1245,0.046185965,5.21,0,2,1.845,0.641,5,2,270.3,1,1,1,TRUE,4.737,0.979
1293,0.020413751,3.57,4.46,0,3.34,0.621,7,2,435.52,1,1,1,TRUE,8.376,0.737
1300,0.109003259,8.43,0,3,3.23,0.653,6,0,454.6,1,1,1,TRUE,40.813,0.5
1319,0.215209706,2.42,0,3,2.463,0.873,5,1,349.31,1,1,1,TRUE,9.159,0.867
1323,0.018757,5.09,0,2,2.332,0.656,4,1,308.3,1,1,1,TRUE,28.593,0.959
1341,0.610826059,9.45,0,2,-0.246,0.888,6,2,267.24,1,1,1,TRUE,1.745,0.978
