Drug,Fu,pKa1,pKa2,CompoundType,LogP,bp,HBAValue,HBDValue,Mole_Wh,DistributionModel,KpPredictionMethod,VssSwitch,CL_MetBas,CL_MetBas_Var
52,0.049721383,2.65,0,3,3.927,0.794,3,0,308.8,1,0,1,8.883515,50
172,0.091073012,9.12,0,3,1.874,0.98,3,2,261.36,1,0,1,13.4553965,50
177,0.166206177,10.01,8.21,5,4.317,0.774,5,2,467.64,1,0,1,37.69903556,50
184,0.642486816,1.43,0,3,0.082,0.863,3,0,194.19,1,0,1,11.73855583,50
295,0.202590068,8.21,0,3,-0.37,0.742,14,4,748,1,0,1,31.99390051,50
308,0.07805424,7.67,0,3,3.095,0.966,4,1,326.8,1,0,1,42.9206213,50
323,0.075913795,9.63,5.05,1,3.771,0.875,5,2,450.34,1,0,1,11.30796199,50
332,0.116182774,3.21,12.19,5,0.975,0.807,9,4,471.5,1,0,1,12.9393911,50
366,0.071065612,9.69,0,3,3.644,1.072,2,1,266.4,1,0,1,42.10031934,50
394,0.373356107,0,0,4,0.551,0.725,14,6,780.94,1,0,1,0.924319765,50
413,0.035036216,0,0,4,0.459,0.649,15,5,807.89,1,0,1,36.09770654,50
471,0.311749927,8.23,0,3,-0.545,0.765,14,5,733.9,1,0,1,27.6891625,50
488,0.024434103,4.34,0,3,2.121,0.73,4,0,358.8,1,0,1,5.76513976,50
637,0.070782794,9.04,0,3,3.876,0.962,2,0,280.4,1,0,1,39.46319014,50
674,0.02428278,3.78,0,3,4.179,0.644,9,0,705.6,1,0,1,15.59963152,50
703,0.020731632,3.69,0,3,1.268,0.644,4,1,369.4,1,0,1,20.05583232,50
739,0.0712409,11.29,1.52,5,2.953,0.894,4,2,321.16,1,0,1,7.297214963,50
781,0.884128064,10.81,0,3,-0.329,1.258,5,4,129.16,1,0,1,26.73174687,50
787,0.358259091,4.4,3.53,0,-0.313,0.661,13,5,454.44,1,0,1,17.54348379,50
800,0.58106182,9.59,0,3,1.653,0.935,4,2,267.4,1,0,1,38.71991275,50
811,0.035076326,5.28,0,3,3.864,0.752,2,0,325.8,1,0,1,14.60949957,50
832,0.010364284,4.83,0,2,5.252,0.614,4,2,586.2,1,0,1,6.353365494,50
875,0.059303032,0,0,0,1.258,0.942,7,1,346.3,1,0,1,59.04146702,50
907,0.147418368,7.11,0,3,1.981,0.844,2,0,293.4,1,0,1,27.71184748,50
938,0.033213359,9.6,0,3,3.289,0.906,4,1,329.4,1,0,1,18.22095267,50
963,0.216576415,0,0,0,1.68,0.907,3,1,179.22,1,0,1,26.93244242,50
967,0.498324397,7.3,0,2,1.185,0.796,5,2,232.24,1,0,1,4.464706761,50
973,0.097638725,8.15,0,2,2.201,0.951,4,2,252.28,1,0,1,4.666840305,50
1001,0.020065722,3.69,2.81,1,3.948,0.639,9,1,700.8,1,0,1,13.1587986,50
1009,0.375588572,4.83,0,2,1.242,0.635,7,4,424.53,1,0,1,28.11572003,50
1018,0.222999177,3.65,0,2,1.573,0.626,5,1,285.36,1,0,1,4.019005865,50
1041,0.110868602,7.79,4.14,1,2.192,0.893,4,1,324.4,1,0,1,10.47861032,50
1094,0.064979715,7.14,5.86,5,1.501,0.651,6,1,357.427,1,0,1,11.81924513,50
1095,0.067570293,4.54,0,2,1.601,0.608,9,3,481.54,1,0,1,9.077133233,50
1197,0.933672106,1.77,6.64,0,-1.118,0.778,8,3,287.21,1,0,1,11.82708206,50
1245,0.112366538,5.21,0,2,1.845,0.641,5,2,270.3,1,0,1,1.288437451,50
1293,0.00980096,3.57,4.46,0,3.34,0.621,7,2,435.52,1,0,1,5.07557372,50
1300,0.073417907,8.43,0,3,3.23,0.653,6,0,454.6,1,0,1,34.74033484,50
1319,0.170466679,2.42,0,3,2.463,0.873,5,1,349.31,1,0,1,3.38252753,50
1323,0.021690397,5.09,0,2,2.332,0.656,4,1,308.3,1,0,1,1.438682431,50
1341,0.543710162,9.45,0,2,-0.246,0.888,6,2,267.24,1,0,1,15.11512246,50
