Drug,Fu,pKa1,pKa2,CompoundType,LogP,bp,HBAValue,HBDValue,Mole_Wh,DistributionModel,KpPredictionMethod,VssSwitch,ClearanceSwitch
52,0.066482497,2.65,0,3,3.927,0.794,3,0,308.8,0,2,0,2
172,0.222688149,9.12,0,3,1.874,0.98,3,2,261.36,0,2,0,2
177,0.131895392,10.01,8.21,5,4.317,0.774,5,2,467.64,0,2,0,2
184,0.824674494,1.43,0,3,0.082,0.863,3,0,194.19,0,2,0,2
295,0.50922592,8.21,0,3,-0.37,0.742,14,4,748,0,2,0,2
308,0.070630508,7.67,0,3,3.095,0.966,4,1,326.8,0,2,0,2
323,0.098724281,9.63,5.05,1,3.771,0.875,5,2,450.34,0,2,0,2
332,0.279476739,3.21,12.19,5,0.975,0.807,9,4,471.5,0,2,0,2
366,0.123274946,9.69,0,3,3.644,1.072,2,1,266.4,0,2,0,2
394,0.244766014,0,0,4,0.551,0.725,14,6,780.94,0,2,0,2
413,0.073719227,0,0,4,0.459,0.649,15,5,807.89,0,2,0,2
471,0.56831618800000006,8.23,0,3,-0.545,0.765,14,5,733.9,0,2,0,2
488,0.07875031,4.34,0,3,2.121,0.73,4,0,358.8,0,2,0,2
637,0.133013336,9.04,0,3,3.876,0.962,2,0,280.4,0,2,0,2
674,0.016388869,3.78,0,3,4.179,0.644,9,0,705.6,0,2,0,2
703,0.072900848,3.69,0,3,1.268,0.644,4,1,369.4,0,2,0,2
739,0.091878341,11.29,1.52,5,2.953,0.894,4,2,321.16,0,2,0,2
781,0.991788353,10.81,0,3,-0.329,1.258,5,4,129.16,0,2,0,2
787,0.29315246,4.4,3.53,0,-0.313,0.661,13,5,454.44,0,2,0,2
800,0.561258402,9.59,0,3,1.653,0.935,4,2,267.4,0,2,0,2
811,0.052127465,5.28,0,3,3.864,0.752,2,0,325.8,0,2,0,2
832,0.004204546,4.83,0,2,5.252,0.614,4,2,586.2,0,2,0,2
875,0.085439799,0,0,0,1.258,0.942,7,1,346.3,0,2,0,2
907,0.382212289,7.11,0,3,1.981,0.844,2,0,293.4,0,2,0,2
938,0.124280584,9.6,0,3,3.289,0.906,4,1,329.4,0,2,0,2
963,0.381586961,0,0,0,1.68,0.907,3,1,179.22,0,2,0,2
967,0.221786107,7.3,0,2,1.185,0.796,5,2,232.24,0,2,0,2
973,0.129905107,8.15,0,2,2.201,0.951,4,2,252.28,0,2,0,2
1001,0.02398,3.69,2.81,1,3.948,0.639,9,1,700.8,0,2,0,2
1009,0.097592791,4.83,0,2,1.242,0.635,7,4,424.53,0,2,0,2
1018,0.15251958,3.65,0,2,1.573,0.626,5,1,285.36,0,2,0,2
1041,0.156018326,7.79,4.14,1,2.192,0.893,4,1,324.4,0,2,0,2
1094,0.020109515,7.14,5.86,5,1.501,0.651,6,1,357.427,0,2,0,2
1095,0.061798662,4.54,0,2,1.601,0.608,9,3,481.54,0,2,0,2
1197,0.878878978,1.77,6.64,0,-1.118,0.778,8,3,287.21,0,2,0,2
1245,0.046185965,5.21,0,2,1.845,0.641,5,2,270.3,0,2,0,2
1293,0.020413751,3.57,4.46,0,3.34,0.621,7,2,435.52,0,2,0,2
1300,0.109003259,8.43,0,3,3.23,0.653,6,0,454.6,0,2,0,2
1319,0.215209706,2.42,0,3,2.463,0.873,5,1,349.31,0,2,0,2
1323,0.018757,5.09,0,2,2.332,0.656,4,1,308.3,0,2,0,2
1341,0.610826059,9.45,0,2,-0.246,0.888,6,2,267.24,0,2,0,2
